dateOfYear,timeofmaxIcnd,timeofmaxScat
20240619,84322,86301
20240620,23881,82261
20240621,26461,84343
20240622,2341,81721
20240623,3781,77581
20240624,30001,30001
20240625,17041,84116
20240626,35293,75913
20240627,36540,34320
20240628,10980,79620
20240629,51901,86341
20240630,61621,80221
20240701,30000,68280
20240702,18960,83626
20240703,0,86399
20240704,80580,85740
20240705,1861,82621
20240706,51721,85117
20240707,20701,85441
20240708,46980,78180
20240709,86399,86399
20240710,23700,84960
20240711,38040,33540
20240712,27900,72780
20240713,64081,79201
20240714,29040,82440
20240715,0,0
20240716,0,86399
20240717,57541,84301
20240718,32941,31081
20240719,39901,81901
20240720,69601,78181
20240721,31141,81961
20240722,30901,30901
20240723,0,0
20240724,46217,58397
20240725,45600,38520
20240726,34201,56041
20240727,50340,45240
20240728,42841,58141
20240729,35341,31141
20240730,31980,84660
20240731,52504,68404
20240801,6242,79262
20240802,78062,78002
20240803,48361,75301
20240804,83401,86341
20240805,31141,31021
20240806,46561,83041
20240807,11101,11041
20240808,37322,27722
20240809,78961,63421
20240810,56641,48061
20240811,60901,50821
20240812,72721,64861
20240813,73920,26820
20240814,74101,86341
20240815,34260,32220
20240816,25080,24360
20240817,38281,82381
20240818,64320,42600
20240819,35161,19620
20240820,48600,44640
20240821,49621,49501
20240822,32221,32161
20240823,29040,85560
20240824,44102,29281
20240825,33901,33841
20240826,43020,31980
20240827,54060,46380
20240828,39780,25800
20240829,53281,16561
20240830,26400,77760
20240831,39541,20461
20240901,52801,86399
20240902,65641,35461
20240903,29640,24240
20240904,60022,53941
20240905,31800,31680
20240906,31140,24960
20240907,76141,25441
20240908,60480,60420
20240909,46681,40441
20240910,28501,21061
20240911,32280,28800
20240912,33240,29820
20240913,81601,35221
20240914,31860,86340
20240915,70741,70621
20240916,57481,33841
20240917,7981,4981
20240918,76681,31081
20240919,53041,37741
20240920,36181,36121
20240921,0,77700
20240922,44521,37081
20240923,46620,27120
20240924,48300,48180
20240925,36000,30660
20240926,40200,27000
20240927,50160,48240
20240928,56460,82500
20240929,40740,35400
20240930,37740,29400
20241001,29461,23641
20241002,54360,21360
20241003,27660,36240
