bthour,lat_0,lat_1,lat_2,lon_0,lon_1,lon_2,alt_0,alt_1,alt_2,Pamb_0,Pamb_1,Pamb_2,Theta_0,Theta_1,Theta_2,Tamb_0,Tamb_1,Tamb_2,precipitation_0,precipitation_1,precipitation_2,MixedLayer_0,MixedLayer_1,MixedLayer_2,RH_0,RH_1,RH_2,TerrainHeight_0,TerrainHeight_1,TerrainHeight_2,solarFlux_0,solarFlux_1,solarFlux_2
0,76.514,76.514,76.514,-68.534,-68.534,-68.534,50,100,150,943,936.9,930.9,275.9,276.6,277.2,271.3,271.4,271.5,0,0,0,219.9,219.9,219.9,96.6,96.8,97,439.4,439.4,439.4,6,6,6
1,76.473,76.458,76.444,-67.869,-67.823,-67.783,85.2,150.2,209.5,934.2,927.8,922.1,276.6,277.2,277.7,271.2,271.2,271.3,0,0,0,239.7,243.8,247.8,97,97.2,97.3,481.4,469.6,458.3,3.8,3.7,3.6
2,76.424,76.388,76.362,-67.158,-67.039,-66.963,85.4,144.9,205.8,938.2,933.8,929.1,276.7,277.1,277.5,271.6,271.7,271.6,0.1,0.1,0.1,263.9,273.4,281.2,97.5,97.8,98,448.4,424.3,401.5,4.5,4.1,3.9
3,76.39,76.344,76.304,-66.473,-66.244,-66.057,46.5,113.3,192.3,952.2,951.5,948.5,276.8,277.1,277.3,272.8,273.1,273,0.1,0.1,0.1,297.8,307.6,314,96.5,96.4,96.9,364.3,301.5,247.8,5.2,4.6,4.1
4,76.353,76.289,76.234,-65.655,-65.241,-64.954,88.6,182.7,247,952.1,942.7,939.2,277.5,277.7,277.8,273.5,272.9,272.7,0.2,0.3,0.3,344.1,361,367.5,94.5,95.4,96.2,326.3,312.9,278.7,4.7,2.9,2
5,76.276,76.202,76.148,-64.514,-64.04,-63.789,175.9,264.2,309.2,937.9,935.6,938.7,277.9,277.9,277.7,272.6,272.5,272.5,0.7,0.4,0.4,385.7,380.7,374.8,95.8,97.4,98.3,367.3,299.2,225.1,25.3,23,20.9
6,76.166,76.087,76.039,-63.262,-62.88,-62.677,277.5,340.6,365.1,938.7,944.7,950.2,277.5,277.3,277,272.3,272.7,272.9,0.2,0.2,0.2,386.5,363.5,346.8,98.8,99.4,99.5,263.6,142,65.3,43.2,38.4,34.9
7,76.061,76.009,75.978,-62.158,-61.865,-61.703,331,382.6,406.2,950.6,954.1,953.1,276.9,276.7,276.8,272.8,273,273,0,0,0,342.8,303,278.9,99.2,98.4,97.3,105,16.6,0,54.3,52.2,54.1
8,76.004,75.972,75.938,-61.245,-60.994,-60.844,386.3,449.2,482.3,955.1,948.2,940.8,277,277.4,277.8,273.4,273.2,273,0.1,0.1,0.1,204.9,168.1,159.7,90.1,89.7,89.6,6.5,1.2,31.6,77.1,81.1,86
9,75.922,75.88,75.835,-60.425,-60.192,-60.046,454.6,540.9,592.3,934.9,920.3,912.2,278.4,279,279.3,273,272.4,272,0,0,0,117.3,96.3,91.3,83.1,84.9,86.3,114.2,153.2,171.7,118.7,127.4,130.7
10,75.771,75.718,75.66,-59.718,-59.458,-59.298,532.8,644.7,695.4,907.7,886.6,878.2,279.6,280.6,281.3,271.9,271.1,270.9,0,0,0,118.1,133.9,152.3,82.2,83,82.3,277.5,353.9,379.4,150.4,151.3,148.6
