seconds,tamb,rh,ws,wd
60,-2.714,89.5,2.061,275.1
60,-2.73,89.2,2.372,268
60,-2.811,89,2.417,257.9
60,-2.803,89.5,2.272,255.8
60,-2.818,89.8,2.28,258.7
60,-2.71,91.1,2.169,255.8
60,-2.761,91.7,2.708,269.5
60,-2.694,91.7,2.396,267.4
60,-2.668,92.2,2.494,252.3
60,-2.749,92.2,2.414,260.9
60,-2.814,92.1,2.77,259.6
60,-2.762,92.3,2.904,270.9
60,-2.863,91.8,3.038,274.2
60,-2.897,90.9,3.071,276.5
60,-2.806,91,2.625,257.7
60,-2.911,90.9,2.635,273
60,-2.806,91,2.228,261.7
60,-2.857,91.9,2.35,251.5
60,-2.785,91.6,2.339,255.3
60,-2.893,90.5,1.906,256.3
60,-2.808,90.9,1.824,250.1
60,-2.818,91.3,1.767,256.2
60,-2.895,91.6,2.465,266.3
60,-2.835,91.5,2.3,264.8
60,-2.807,91.8,2.035,274.9
60,-2.758,91.9,2.278,261.2
60,-2.862,91.6,2.334,251.2
60,-2.803,91.8,2.411,269.8
60,-2.907,92.7,2.14,255
60,-2.856,92.8,2.03,260.2
60,-2.768,92.7,2.099,268.3
60,-2.864,92.7,2.092,258.3
60,-2.773,92.7,2.434,261.6
60,-2.892,92.5,2.274,247.3
60,-2.9,92.7,2.378,261
60,-2.824,93.1,2.117,248.1
60,-2.862,93,2.123,252.8
60,-2.94,93,2.159,265.2
60,-2.955,93.4,2.151,253.9
60,-2.869,93.1,2.502,260.7
60,-2.853,92.8,2.298,267.3
60,-2.953,92.6,2.492,276.6
60,-2.939,93.1,2.181,255
60,-2.878,93.3,2.301,266.6
60,-2.854,93.2,2.324,258.5
60,-2.946,92.7,2.414,261.8
60,-2.923,92.4,2.359,254.8
60,-2.897,92.2,2.05,254.1
60,-3.001,92,2.296,258.1
60,-2.989,91.8,2.532,266.3
60,-2.902,92.7,2.527,263.8
60,-2.999,92.6,2.617,263.6
60,-2.908,92.3,2.476,273
60,-2.909,92.3,2.295,259.8
60,-2.991,92.4,2.344,253.7
60,-2.916,91.9,2.341,251.5
60,-3.001,91.5,2.332,259.8
60,-2.987,91.5,2.216,254
60,-2.952,91.3,2.342,262.2
60,-2.859,91.7,2.019,258
60,-2.899,92.5,2.414,262.7
60,-3.001,92.3,2.107,255.1
60,-2.923,92.6,2.313,256.3
60,-2.914,92.4,2.081,255.2
60,-2.904,91.8,1.82,261
60,-2.895,92.4,1.968,249.7
60,-2.956,93,1.707,262.2
60,-2.941,92.5,2.236,259
60,-2.907,91.8,2.357,261.1
60,-2.989,91.7,2.393,253.6
60,-2.994,91.8,2.51,256.7
60,-2.911,92.1,2.917,262.8
60,-2.987,92.4,2.754,267.7
60,-3.001,93.3,2.87,264
60,-2.856,94.2,3.031,251.3
60,-2.954,94.7,2.559,259.2
60,-2.868,95,2.832,255.2
60,-2.861,95.3,2.991,248.9
60,-2.951,95.4,2.914,247.4
60,-2.944,95.5,2.827,255.8
60,-2.914,95.6,2.933,252.8
60,-2.937,95.5,2.858,255.7
60,-3.092,95.3,2.829,250.6
60,-2.99,95.4,2.661,255.1
60,-3.005,95.6,2.909,270.1
60,-3.084,95.7,3,278
60,-3.016,96,2.912,279
60,-3.091,96,2.844,273.6
60,-2.993,96,2.44,280.4
60,-3.093,95.9,2.499,264.4
60,-3.048,95.7,2.692,270.4
60,-3.134,95.4,2.313,274.1
60,-3.131,95.6,2.207,270.1
60,-2.95,96,2.042,285.7
60,-3.091,95.6,2.068,267
60,-3.08,95.2,2.873,277.8
60,-3.184,94.7,2.47,284.7
60,-3.169,94.4,2.424,271.2
60,-3.181,94.7,2.561,253.3
60,-3.079,95,2.321,266.9
60,-3.172,95.2,2.197,268.7
60,-3.116,94.7,2.208,279.7
60,-3.127,94.4,2.225,273.5
60,-3.229,93.7,1.754,269.2
60,-3.037,93.8,1.437,279.1
60,-3.084,94.2,2.086,260.9
60,-3.054,94.2,1.725,263.3
60,-3.077,94,1.828,254.7
60,-3.183,94.4,2.105,267.4
60,-3.214,94.1,1.993,260.3
60,-3.226,94,2.216,253.5
60,-3.145,93.7,1.573,302.2
60,-3.171,93.5,1.37,275.8
60,-3.181,93.6,1.852,257.3
60,-3.261,93.5,1.86,261.6
60,-3.198,93.9,1.789,253.3
60,-3.268,94.1,1.684,241.9
60,-3.264,94.6,1.704,257.8
60,-3.154,95,2.543,265.4
60,-3.124,94.7,2.698,266.9
60,-3.229,93.8,2.705,266.1
60,-3.189,91.5,2.551,278.7
60,-3.135,91.9,2.29,286.6
60,-3.229,91.6,2.02,268.3
60,-3.215,91.3,1.935,283.8
60,-3.004,90.6,2.063,288
60,-3.042,89.6,2.726,285.8
60,-3.133,88.7,2.599,271.9
60,-3.088,87.9,2.136,295.8
60,-2.993,87,2.659,282.5
60,-3.003,85.7,3.193,296.8
60,-2.993,85.2,2.728,305.3
60,-3.094,86.5,2.27,319.8
60,-2.853,87.1,2.192,315.1
60,-3.046,86.1,2.744,324
60,-3.034,85.4,2.349,314.3
60,-2.969,85.8,2.247,323.1
60,-2.942,86.7,2.453,291.2
60,-3.042,86,2.821,291.7
60,-2.951,86.1,2.546,302.8
60,-3.038,86,2.785,292.4
60,-3.09,84.6,2.666,291.5
60,-2.997,85.8,2.46,293.6
60,-3.091,86.3,2.933,298.6
60,-3.005,86.7,2.85,293.4
60,-3.053,86.4,3.031,304
60,-3.078,85.9,3.064,290.4
60,-3.094,85.6,2.974,305.4
60,-2.985,85.8,3.04,298.3
60,-3.14,85.7,2.909,292.8
60,-3.043,86.8,2.937,287.1
60,-3.065,87.6,3.09,288.5
60,-3.125,87.7,3.208,298.8
60,-2.957,88.1,3.087,299.8
60,-3.038,88.4,3.435,291.6
60,-3.178,88.7,2.969,289.3
60,-3.177,89.5,3.04,300.5
60,-3.175,89.7,3.219,288.7
60,-3.106,90.1,3.27,301.3
60,-3.218,90.2,2.827,285.2
60,-3.23,91.2,2.569,275.5
60,-3.181,91.6,2.875,301.3
60,-3.23,91.6,2.904,296.4
60,-3.035,91.4,3.121,295
60,-3.155,91.5,3.25,290.9
60,-3.173,91.2,3.709,299.9
60,-3.183,90.9,3.221,296.8
60,-3.312,90.7,3.299,294.3
60,-3.312,90,2.791,297.6
60,-3.243,90.5,3.696,306
60,-3.22,90.4,3.143,312.2
60,-3.321,90.7,2.85,308
60,-3.232,90.6,3.147,304.6
60,-3.241,90.6,2.849,319.1
60,-3.316,90.5,2.914,321.1
60,-3.308,90.3,2.867,326.6
60,-3.233,90.4,3.324,308.9
60,-3.217,90.2,3.183,309.5
60,-3.319,90.1,3.053,294.6
60,-3.265,91,2.862,289
60,-3.267,91.7,3.185,305.6
60,-3.197,91.4,3.425,296.6
60,-3.228,91.6,3.474,306.6
60,-3.275,90.9,3.216,309.7
60,-3.259,91.3,3.339,302.9
60,-3.275,92.2,2.829,310.3
60,-3.263,91.6,3.218,300.2
60,-3.093,91.7,3.306,298.9
60,-3.179,91.4,2.638,301.9
60,-3.268,91.8,2.623,307.6
60,-3.272,91.5,3.017,311.9
60,-3.168,91.5,2.981,309.6
60,-3.273,91.6,3.327,300.6
60,-3.227,91.7,3.562,310.5
60,-3.277,91.3,3.608,296.5
60,-3.307,90.6,3.699,295.5
60,-3.231,90.6,3.539,299.2
60,-3.222,90.5,3.366,296.5
60,-3.317,90.1,3.461,295.5
60,-3.36,89,3.258,298.9
60,-3.263,89.3,3.035,300.9
60,-3.365,90.5,2.883,299.6
60,-3.261,90.9,3.316,298.5
60,-3.303,91.9,2.759,292.7
60,-3.352,92.3,3.25,289.8
60,-3.23,92,3.428,297.6
60,-3.317,91.6,3.296,288.1
60,-3.404,91.7,3.198,296
60,-3.392,92.1,3.214,299.7
60,-3.263,92.3,3.252,301.2
60,-3.441,92.2,2.778,304.8
60,-3.264,92.3,2.765,286.3
60,-3.366,92,3.337,299.6
60,-3.451,91.6,3.077,299.4
60,-3.266,91.3,2.618,300.5
60,-3.371,91.2,2.644,303.4
60,-3.35,91.3,2.615,291.7
60,-3.378,91,2.586,297.7
60,-3.449,91,2.775,312
60,-3.365,90.9,2.581,299.1
60,-3.457,91.1,2.587,302.8
60,-3.443,91.2,2.6,303.1
60,-3.458,91.1,2.426,300.9
60,-3.358,90.4,2.551,302.1
60,-3.392,90.5,2.261,296.8
60,-3.455,90.4,2.447,289.6
