Date,DESIGNATION,AIRCRAFT,CALL_SIGN,ORGANIZATION,ScheduledDeparture,ActualDeparture,NumberDeparting,ScheduledArrival,ActualArrival,NumberArriving,NumberOfFlights,NOTES
2024-06-14,NASA520,G3,N520NA,NASA,,,,08:30,08:34,1,,
2024-06-14,ATN520,B757,N751CX,AMC,,,,09:00,09:03,1,,
2024-06-15,,,,,,,,,,,2,
2024-06-17,NASA426,P3,N426NA,NASA,,,,08:00,08:01,1,,
2024-06-17,NASA436,C130,N436NA,NASA,,,,08:15,08:04,1,,
2024-06-17,GL6822/6823,DHC8,OYGRP,AMC,13:00,12:48,1,14:20,14:22,1,,
2024-06-17,CFC85,C130,130611,RCAF,15:20,15:19,1,,,,,
2024-06-18,CFC85,C130,130611,RCAF,,,,09:00,09:08,1,,
2024-06-19,,,,,,,,,,,2,
2024-06-20,ATN510,B757,N751CX,AMC,07:50,07:47,1,,,,2,AMC
2024-06-21,ATN520,B757,N751CX,AMC,,,,09:00,08:48,1,2,
2024-06-22,,,,,,,,,,,2,
2024-06-24,GL6822/6823,DHC8,OYGRO,AMC,14:15,14:08,1,15:00,14:52,1,,
2024-06-26,GL628,DHC8,OYGRK,GLA,14:50,14:47,1,15:50,15:51,1,4,
2024-06-27,ATN510,B757,N751CX,AMC,08:35,08:28,1,,,,,
2024-06-28,RCH121,C130,85715,AMC,08:50,08:58,1,11:00,10:31,1,2,
2024-06-28,ATN520,B757,N751CX,AMC,,,,09:00,09:01,1,,
2024-06-28,GL6025,DHC8,OYGRM,GLA,21:30,21:42,1,,,,,Other
2024-06-29,JEF22,CL60,OHWIW,RDAF,09:05,09:13,1,10:30,10:27,1,2,Other
2024-06-29,GL6025,DHC8,OYGRM,GLA,,,,11:20,11:27,1,,Other
2024-07-01,GL6822/6823,DHC8,OYGRP,AMC,13:05,13:01,1,14:15,14:04,1,4,
2024-07-02,,,,,,,,,,,4,
2024-07-03,,,,,,,,,,,2,
2024-07-05,ATN510/520,B757,N751CX,AMC,08:00,08:06,1,21:00,20:57,1,4,AMC
2024-07-08,,,,,,,,,,,2,
2024-07-10,GL6801/6802,A330,OYGKN,AMC,08:30,08:30,1,10:30,10:21,1,2,
2024-07-10,RCH646,C130,21537,AMC,09:05,09:09,1,,,,,
2024-07-10,CFC85,C130,130614,RCAF,14:40,14:39,1,,,,,
2024-07-11,RCH646,C130,21537,AMC,,,,08:00,08:13,1,,
2024-07-11,ATN510,B757,N751CX,AMC,08:45,08:43,1,,,,,
2024-07-11,CFC85,C130,130614,RCAF,,,,09:00,09:18,1,,
2024-07-12,ATN520,B757,N751CX,AMC,,,,09:00,09:08,1,,
2024-07-17,GL6822/6823,DHC8,OYGRO,AMC,09:45,09:30,1,10:35,10:35,1,4,
2024-07-17,CFC2565,C130,130617,RCAF,14:40,15:32,1,,,,,
2024-07-17,CFC86,C17,77703,RCAF,15:15,15:23,1,,,,,
2024-07-18,ATN510,B757,N751CX,AMC,07:40,07:39,1,,,,,AMC
2024-07-18,CFC2565,C130,130617,RCAF,,,,08:00,08:42,1,,
2024-07-18,CFC86,C17,77703,RCAF,,,,10:00,09:47,1,,
2024-07-18,CFC2565,C130,130617,RCAF,15:00,15:19,1,,,,,
2024-07-19,ATN520,B757,N751CX,AMC,,,,09:00,09:04,1,4,
2024-07-19,CFC2565,C130,130617,RCAF,,,,10:00,10:01,1,,
2024-07-22,GL6822/6823,DHC8,OYGRP,AMC,13:40,13:31,1,14:15,14:22,1,,
2024-07-22,NASA426,P3,N426NA,NASA,15:15,15:36,1,,,,,
2024-07-22,NASA436,C130,N436NA,NASA,15:40,15:56,1,,,,,
2024-07-23,CFC1130,DHC6,13804,RCAF,13:40,13:54,1,15:30,15:47,1,,
2024-07-23,ICLFT9,LJ35,N474KA,NASA,14:15,13:59,1,,,,,
2024-07-23,CFC85,C130,130612,RCAF,14:50,14:47,1,,,,,
2024-07-24,CFC85,C130,130612,RCAF,,,,09:00,09:19,1,,
2024-07-25,ATN510,B757,N751CX,AMC,08:05,08:09,1,,,,2,
2024-07-25,NASA426,P3,N426NA,NASA,,,,08:00,08:25,1,,
2024-07-25,RCH602,C130,21534,AMC,10:15,10:18,1,,,,,
2024-07-25,ICLFT9,LJ35,N474KA,NASA,,,,10:15,11:24,1,,
2024-07-25,ICLFT9,LJ35,N474KA,NASA,14:30,14:57,1,,,,,
2024-07-25,NASA426,P3,N426NA,NASA,15:30,15:42,1,,,,,
2024-07-26,ATN520,B757,N751CX,AMC,,,,09:00,08:56,1,,
2024-07-26,RCH602,C130,21534,AMC,,,,10:30,10:58,1,,
2024-07-26,NASA520,G3,N520NA,NASA,14:00,13:59,1,,,,,
2024-07-29,NASA426,P3,N426NA,NASA,,,,08:00,08:20,1,4,
2024-07-29,N474KA,LJ35,N474KA,NASA,,,,08:30,08:57,1,,
2024-07-29,IFA1225,CL60,DAFAD,AMC,10:50,11:04,1,12:00,11:57,1,,
2024-07-29,N474KA,LJ35,N474KA,NASA,12:30,12:49,1,,,,,
2024-07-29,HBZYS,R66,HBZYS,NSF,15:00,15:12,1,,,,,
2024-07-29,NVC102,CL60,CGFIO,NAVCAN,15:15,15:07,1,,,,,
2024-07-29,NASA426,P3,N426NA,NASA,15:30,15:45,1,,,,,
2024-07-30,NASA426,P3,N426NA,NASA,,,,08:00,08:07,1,,
2024-07-30,NVC101,CL60,CGFIO,NAVCAN,,,,08:30,08:18,1,,
