avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240711 00:01:00,60,,110.721,,0.220333,240.467,342.217,68.3544,116.703
20240711 00:02:00,120,,91.2958,,0.266167,227.739,320.855,77.6138,109.051
20240711 00:03:00,180,,89.3056,,0.250167,226.473,342.855,77.4358,160.857
20240711 00:04:00,240,,95.8765,,0.220333,245.545,356.166,64.7562,100.744
20240711 00:05:00,300,,,,0.1295,238.41,343.73,70.6836,111.288
20240711 00:06:00,360,,107.787,,0.210667,254.16,365.683,72.5842,113.41
20240711 00:07:00,420,,86.7025,,0.47,235.416,340.469,80.3176,165.249
20240711 00:08:00,480,,89.9082,,0.257833,226.445,320.867,88.5805,109.489
20240711 00:09:00,540,,,,0.401167,231.981,335.634,76.4249,145.021
20240711 00:10:00,600,,96.5303,,0.176,223.337,319.64,67.1095,94.9636
20240711 00:11:00,660,,95.4785,,0.133667,238.908,346.15,65.2994,81.1594
20240711 00:12:00,720,,107.869,,0.1515,250.902,363.213,67.8308,119.298
20240711 00:13:00,780,,105.762,,0.132833,238.525,351.34,64.603,84.6895
20240711 00:14:00,840,,105.975,,0.278167,246.594,359.543,73.7879,119.162
20240711 00:15:00,900,,108.948,,0.764,250.729,363.411,73.2794,375.669
20240711 00:16:00,960,,96.9105,,0.188,231.1,323.489,64.0193,170.408
20240711 00:17:00,1020,,93.0613,,0.1755,231.153,321.396,64.061,102.954
20240711 00:18:00,1080,,,,0.6505,222.8,312.597,76.8046,292.372
20240711 00:19:00,1140,,99.1784,,0.133,228.428,320.475,66.4244,87.3815
20240711 00:20:00,1200,,101.04,,0.133,237.049,340.386,66.3903,86.3354
20240711 00:21:00,1260,,113.926,,0.225667,243.745,349.625,70.2257,101.913
20240711 00:22:00,1320,,,,0.184667,243.508,346.134,68.8289,95.0823
20240711 00:23:00,1380,,90.3588,,0.151667,244.474,345.84,60.6889,88.0095
20240711 00:24:00,1440,,86.2632,,0.242333,247.714,353.749,71.5525,127.604
20240711 00:25:00,1500,,97.3242,,2.13267,262.401,372.743,89.6915,499.727
20240711 00:26:00,1560,,1436.57,,0.578167,255.255,359.897,77.5594,232.817
20240711 00:27:00,1620,,71.3047,,0.272,257.089,356.814,71.398,121.565
20240711 00:28:00,1680,,110.796,,0.126167,270.288,378.336,61.2157,84.1385
20240711 00:29:00,1740,,109.214,,0.190167,278.171,384.544,71.4239,112.851
20240711 00:30:00,1800,,138.971,,0.426833,291.82,395.409,80.1955,125.015
20240711 00:31:00,1860,,143.972,,0.241333,287.772,392.186,67.623,97.1608
20240711 00:32:00,1920,,119.047,,0.635667,277.64,384.063,73.2134,301.679
20240711 00:33:00,1980,,,,0.199667,256.503,356.481,66.0231,90.4625
20240711 00:34:00,2040,,130.331,,0.159667,286.335,392.97,61.5893,106.863
20240711 00:35:00,2100,,173.086,,0.252333,285.607,392.887,68.1984,128.202
20240711 00:36:00,2160,,,,0.243333,273.139,382.298,80.3421,123.65
20240711 00:37:00,2220,,,,0.167833,235.858,312.894,67.8718,93.1364
20240711 00:38:00,2280,,72.0738,,0.41,226.482,280.483,77.5836,139.901
20240711 00:39:00,2340,,,,0.213833,224.681,281.157,66.8384,92.1801
20240711 00:40:00,2400,,82.0912,,0.237333,229.987,306.999,68.113,115.629
20240711 00:41:00,2460,,83.0365,,0.236333,221.665,292.653,68.5263,113.271
20240711 00:42:00,2520,,85.9918,,0.543333,218.533,284.553,76.4925,150.437
20240711 00:43:00,2580,,92.6857,,0.514,210.287,270.033,75.8393,151.071
20240711 00:44:00,2640,,97.8843,,0.567,209.03,274.08,77.4136,135.067
20240711 00:45:00,2700,,,,0.217667,212.95,283.69,65.6811,111.529
20240711 00:46:00,2760,,88.6288,,0.259167,211.389,272.665,65.1895,107.709
20240711 00:47:00,2820,,86.3771,,0.1985,213.849,278.305,65.1461,94.8562
20240711 00:48:00,2880,,96.1308,,0.303333,234.914,336.21,71.4944,135.687
20240711 00:49:00,2940,,,,0.723,239.445,350.651,71.3451,276.575
20240711 00:50:00,3000,,111.829,,0.3945,240.32,346.522,78.282,193.391
20240711 00:51:00,3060,,101.623,,0.380833,228.981,327.751,76.9878,151.587
20240711 00:52:00,3120,,95.419,,0.411,221.819,304.105,86.458,133.877
20240711 00:53:00,3180,,108.78,,0.45,240.138,348.948,80.661,138.192
20240711 00:54:00,3240,,113.118,,0.413667,236.544,347.515,72.8332,142.926
20240711 00:55:00,3300,,88.7051,,0.327,237.361,344.017,72.3466,109.536
20240711 00:56:00,3360,,116.05,,0.24,252.604,364.196,71.2225,118.208
20240711 00:57:00,3420,,104.285,,0.195833,251.338,356.905,65.6047,93.8
20240711 00:58:00,3480,,87.8452,,1.48033,238.371,340.233,84.779,386.023
20240711 00:59:00,3540,,,,0.259833,225.929,320.746,73.2176,111.432
20240711 01:00:00,3600,,95.5157,,0.2345,242.84,355.848,71.1424,106.334
20240711 01:01:00,3660,,86.0832,,0.105333,232.373,327.545,61.985,76.6667
20240711 01:02:00,3720,,78.1663,,0.150667,230.095,318.979,63.9579,95.991
20240711 01:03:00,3780,,84.9095,,0.292833,232.587,333.018,69.1344,127.386
20240711 01:04:00,3840,,,,0.4355,223.083,305.647,80.8113,176.817
20240711 01:05:00,3900,,93.2345,,0.294,225.911,314.344,70.7569,152.697
20240711 01:06:00,3960,,87.66,,0.144,224.916,306.362,63.4687,82.719
20240711 01:07:00,4020,,85.7602,,0.217333,220.994,303.439,72.3351,100.864
20240711 01:08:00,4080,,101.68,,0.157333,230.696,328.463,67.4002,90.7018
20240711 01:09:00,4140,,112.534,,0.324333,243.699,355.911,77.8496,165.964
20240711 01:10:00,4200,,95.3327,,0.132333,237.062,344.231,72.3978,95.5273
20240711 01:11:00,4260,,,,0.489,242.343,348.042,80.0626,159.741
20240711 01:12:00,4320,,90.1578,,0.210833,247.082,358.113,67.7182,92.4939
20240711 01:13:00,4380,,95.9557,,0.152833,234.272,337.297,68.1372,104.582
20240711 01:14:00,4440,,105.201,,0.243667,238.589,348.934,71.9088,131
20240711 01:15:00,4500,,102.172,,0.1415,235.51,342.784,65.8202,81.4126
20240711 01:16:00,4560,,102.416,,0.199,241.711,351.451,65.3532,85.5232
20240711 01:17:00,4620,,93.952,,0.3895,243.934,347.521,73.3386,168.982
20240711 01:18:00,4680,,,,0.1725,239.639,343.885,63.3295,117.721
20240711 01:19:00,4740,,78.0803,,0.216333,234.069,327.694,73.8586,158.4
20240711 01:20:00,4800,,76.497,,0.163833,232.524,324.696,68.1475,141.061
20240711 01:21:00,4860,,83.4883,,0.182667,232.184,323.999,69.92,107.562
20240711 01:22:00,4920,,69.4132,,0.1015,227.261,311.817,62.7011,87.4207
20240711 01:23:00,4980,,,,0.251833,229.668,313.326,71.055,152.943
20240711 01:24:00,5040,,75.1697,,0.162333,229.82,319.54,62.7139,104.242
20240711 01:25:00,5100,,84.5775,,0.288667,230.643,319.747,69.679,114.714
20240711 01:26:00,5160,,84.4735,,0.182167,226.091,313.183,67.6114,94.2902
20240711 01:27:00,5220,,105.486,,0.314167,230.643,313.806,72.7507,110.613
20240711 01:28:00,5280,,83.3043,,1.8225,229.266,311.951,85.9855,541.104
20240711 01:29:00,5340,,96.3835,,0.200667,252.691,361.917,63.7311,129.153
20240711 01:30:00,5400,,90.169,,0.326333,252.833,358.02,81.535,160.776
20240711 01:31:00,5460,,112.518,,0.289,257.963,364.609,76.808,126.547
20240711 01:32:00,5520,,96.1407,,0.3105,244.363,342.349,77.0854,116.239
20240711 01:33:00,5580,,1412.98,,0.174167,233.462,325.541,70.6049,102.389
20240711 01:34:00,5640,,115.317,,0.364833,261.222,370.301,72.4633,171.316
20240711 01:35:00,5700,,120.233,,0.199667,252.615,359.93,75.1131,93.3394
20240711 01:36:00,5760,,112.821,,0.2475,225.124,330.816,71.9335,107.725
20240711 01:37:00,5820,,,,0.804667,256.559,373.722,76.8991,262.852
20240711 01:38:00,5880,,125.32,,0.207333,257.137,368.958,68.4395,96.3166
20240711 01:39:00,5940,,125.995,,0.477167,247.529,353.623,72.9757,193.492
20240711 01:40:00,6000,,269.047,,0.187833,174.737,348.819,68.1297,117.52
20240711 01:41:00,6060,,136.132,,0.317,258.955,371.175,73.9052,109.601
20240711 01:42:00,6120,,115.078,,0.181,250.459,355.899,63.6018,89.2179
20240711 01:43:00,6180,,107.737,,0.306667,249.315,353.21,74.8152,128.414
20240711 01:44:00,6240,,99.2313,,0.299833,230.678,319.896,72.2769,117.677
20240711 01:45:00,6300,,100.859,,0.429167,230.564,310.509,79.7436,135.251
20240711 01:46:00,6360,,102.673,,0.171833,237.64,330.035,64.3442,84.5206
20240711 01:47:00,6420,,108.751,,0.433667,238,331.896,70.3897,200.662
20240711 01:48:00,6480,,95.5353,,0.303667,231.44,315.552,72.9239,119.803
20240711 01:49:00,6540,,100.754,,0.143667,237.354,332.713,69.2013,87.6138
20240711 01:50:00,6600,,96.6562,,0.5775,242.287,343.778,78.9309,214.208
20240711 01:51:00,6660,,,,0.2945,243.586,348.483,75.0122,127.941
20240711 01:52:00,6720,,118.944,,0.227,248.601,354.538,69.6516,102.09
20240711 01:53:00,6780,,128.769,,0.3435,243.854,350.522,78.3496,120.276
20240711 01:54:00,6840,,120.043,,0.571,241.575,348.825,75.7309,218.588
20240711 01:55:00,6900,,107.214,,0.330667,235.855,336.38,80.3257,120.363
20240711 01:56:00,6960,,,,0.212333,230.084,320.226,66.5591,98.9087
20240711 01:57:00,7020,,89.5417,,0.115667,231.989,331.361,67.9343,105.446
20240711 01:58:00,7080,,79.6292,,0.775333,228.158,316.091,88.4757,275.368
20240711 01:59:00,7140,,78.7135,,0.179167,234.904,335.182,71.8561,105.882
20240711 02:00:00,7200,,68.0578,,0.158667,227.036,329.595,70.1713,117.474
20240711 02:01:00,7260,,105.315,,0.739,256.645,371.948,89.8261,375.572
20240711 02:02:00,7320,,89.498,,1.94517,248.287,356.459,96.0893,519.336
20240711 02:03:00,7380,,,,0.301,255.388,362.641,77.1411,112.561
20240711 02:04:00,7440,,,,0.281167,252.799,362.704,74.5364,147.549
20240711 02:05:00,7500,,113.099,,0.195,242.79,351.091,67.5945,87.89
20240711 02:06:00,7560,,,,0.272,238.677,342.426,72.7265,129.624
20240711 02:07:00,7620,,116.002,,0.174,253.5,363.73,65.5867,94.9602
20240711 02:08:00,7680,,137.788,,0.638,270.355,383.697,76.9876,285.691
