seconds,tamb,rh,ws,wd
60,10.36,55.44,5.973,123.6
60,10.32,55.92,6.03,114.1
60,10.31,55.53,6.922,118.8
60,10.22,55.14,7.98,130.7
60,10.32,55.39,6.573,131.9
60,10.32,55.49,6.497,138.5
60,10.22,55.24,6.6,123.8
60,10.31,55.46,6.047,117.3
60,10.41,55.42,6.435,125.2
60,10.4,55.43,6.321,104.1
60,10.5,55.66,5.81,124
60,10.38,55.65,5.548,120.5
60,10.32,56.18,5.472,146.9
60,10.36,56.55,5.152,136.7
60,10.33,56.01,5.187,124.3
60,10.36,56.15,4.875,133.1
60,10.35,56.32,4.872,163.9
60,10.24,54.95,4.399,153.3
60,10.08,55.89,4.297,143.6
60,10.23,56.56,4.96,138.4
60,10.08,56.96,4.008,141.5
60,10.22,57.03,4.696,146.9
60,10.39,56.97,4.764,143.6
60,10.35,55.89,5.439,121.6
60,10.43,55.23,7.064,151
60,10.23,53.89,6.259,155.1
60,10.08,53.85,6.23,124.9
60,9.94,54.15,6.437,156.2
60,9.9,55.17,5.483,150.1
60,9.91,55.56,5.689,145.6
60,9.81,55.85,5.418,146
60,9.8,55.46,6.363,151.1
60,9.94,55.14,5.844,146.1
60,9.84,55.6,5.46,147.8
60,9.9,55.51,5.359,147.5
60,9.98,55.81,5.212,154.5
60,9.99,55.23,5.978,160.5
60,9.93,55.01,5.98,147.3
60,9.8,55.1,6.105,158
60,9.8,55.21,5.846,141.8
60,9.8,55.4,5.741,145.7
60,9.81,55.04,5.839,142.3
60,9.76,55.88,5.343,126.1
60,9.8,55.1,6.037,140.5
60,9.98,56.17,5.348,128.1
60,10,56.4,4.719,140.6
60,10.08,55.99,5.176,139.4
60,10.08,55.47,5.338,145.4
60,10.08,55.76,5.292,154
60,10.04,55.1,4.934,148
60,10.07,56.62,5.292,117.8
60,10.21,56.49,6.363,125.6
60,10.21,55.56,7.175,129.8
60,10.26,55.46,7.433,131.8
60,10.27,54.83,7.52,121.4
60,10.26,55.39,6.555,136.2
60,10.31,54.84,6.891,139
60,10.26,55.21,6.001,125.4
60,10.34,56.31,5.165,134.3
60,10.16,55.92,6.581,127.1
60,10.26,55.14,7.223,118.2
60,10.26,55.04,6.708,133.7
60,10.21,55.63,6.246,138.9
60,10.12,56.21,5.888,131
60,10.21,55.43,6.127,143.6
60,10.12,55.34,5.553,135.7
60,10.12,55.53,5.859,122.1
60,10.21,55.63,5.666,131.9
60,10.21,55.66,6.244,134.9
60,10.17,55.67,4.988,153
60,10.11,55.02,4.302,157.2
60,9.97,55.54,3.639,141.4
60,9.92,55.87,3.995,143.9
60,9.92,56.85,3.587,142.1
60,9.84,55.76,3.882,136.2
60,9.84,56.23,3.007,140.8
60,9.88,56.27,3.575,133.2
60,9.87,56.79,3,143.5
60,9.9,56.96,3.65,154.8
60,9.81,56.53,4.015,134.4
60,9.81,56.11,5.135,135.7
60,9.95,56.34,5.702,137.4
60,10.03,56.02,4.552,133.5
60,10.08,56.31,5.82,132.2
60,9.98,56.18,5.374,137
60,10.07,56.75,4.265,140.1
60,9.98,56.12,4.684,122.8
60,9.98,56.32,4.343,147.7
60,9.98,56.14,4.627,132.1
60,9.9,56.05,4.539,154.3
60,9.91,55.54,3.917,154.1
60,9.9,56.4,4.294,130.8
60,9.81,56.21,3.956,136.7
60,9.9,56.4,5.359,126.5
60,9.9,56.01,5.947,142.4
60,9.94,55.95,4.998,139.8
60,10.07,56.05,5.25,144.9
60,10.06,55.65,5.511,127.6
60,10.01,56.3,5.096,116.4
60,10.07,56.15,6.804,98.5
60,10.02,55.7,7.525,162.5
60,10.03,55.57,6.591,110.8
60,10.13,56.91,5.421,92.5
60,9.89,56.9,5.787,119.9
60,9.96,56.37,5.362,137.6
60,9.94,56.02,4.671,127.6
60,10,56.64,4.929,128.8
60,10.05,55.96,5.529,121.8
60,9.95,55.69,6.731,127.5
60,9.99,55.53,5.731,125
60,9.99,56.05,4.902,112.3
60,9.99,56.05,6.261,135.6
60,10.18,55.74,5.251,122.7
60,10.23,55.47,4.696,130.3
60,10.12,55.77,5.119,137.1
60,10.23,56.22,3.941,125.2
60,10.13,55.88,4.737,136.3
60,10.18,55.97,4.299,142.1
60,10.1,55.92,4.536,141.5
60,10.07,56.52,4.137,135.4
60,10.04,56.21,3.837,148.8
60,9.99,55.62,4.779,115
60,9.9,55.69,4.305,125.6
60,10.04,55.36,5.611,122.2
60,9.97,55.01,5.281,126.4
60,9.9,55.33,4.209,144.4
60,9.8,55.55,4.075,145
60,9.85,56.27,4.302,138.4
60,9.9,55.77,4.142,138.8
60,9.89,55.87,4.243,133.3
60,9.7,55.27,4.691,129.9
60,9.66,55.47,3.27,146.6
60,9.72,55.91,4.42,149.1
60,9.49,55.88,3.838,148.6
60,9.54,56.4,3.633,137.2
60,9.47,56.64,3.242,141.2
60,9.47,56.36,3.415,146.2
60,9.4,56.31,4.64,138.5
60,9.5,56.55,4.523,144.9
60,9.39,56.77,4.673,126.6
60,9.53,56.4,4.813,136.7
60,9.68,56.5,4.858,129.4
60,9.72,55.52,5.166,153.6
60,9.57,55.73,4.702,126.5
60,9.53,56.62,4.88,130.2
60,9.61,56.48,5.156,140.2
60,9.57,55.98,4.193,134.9
60,9.39,56.37,4.155,134.1
60,9.31,56.6,4.599,122.8
60,9.3,57.02,5.091,137.8
60,9.53,56.57,4.572,123.5
60,9.48,56,5.107,119.8
60,9.47,56.59,4.691,110.9
60,9.45,57.31,5.336,134.7
60,9.79,56.59,6.736,139.5
60,9.8,56.16,5.085,139.9
60,9.59,56.11,4.047,141.9
60,9.49,56.99,3.945,137.8
60,9.39,56.83,4.141,131.9
60,9.48,57.07,4.165,137.5
60,9.59,56.65,5.379,132.7
60,9.53,56.79,4.111,115.2
60,9.52,56.83,4.913,119.6
60,9.7,56.43,4.27,146.6
60,9.63,56.63,4.154,132.2
60,9.69,56.29,4.302,142.9
60,9.66,55.88,4.27,153.9
60,9.48,56.34,3.58,127.3
60,9.53,56.9,3.502,139.6
60,9.43,56.84,3.827,146.8
60,9.5,56.88,3.832,125.5
60,9.3,57.54,3.98,143.3
60,9.29,56.8,4.47,138.7
60,9.26,57.06,3.962,136.5
60,9.48,57.83,3.786,135.5
60,9.3,57.02,4.031,124.1
60,9.38,57.32,3.871,138
60,9.53,56.31,4.495,136.5
60,9.68,56.68,3.355,145
60,9.56,56.81,4.265,154.2
60,9.48,56.38,3.856,134.7
60,9.48,56.21,3.866,136.7
60,9.31,56.63,3.608,148
60,9.26,57.28,3.682,146.3
60,9.34,57.51,3.388,136.6
60,9.34,57.58,3.373,143.9
60,9.34,57.73,4.154,147
60,9.26,57.52,3.708,141.9
60,9.39,57.69,3.325,141.3
60,9.21,57.61,3.664,139
60,9.31,57.47,3.507,153.8
60,9.3,58,3.781,146.9
60,9.4,57.98,4.31,153.8
60,9.31,57.21,4.642,135.3
60,9.39,57.68,4.196,139.2
60,9.39,57.12,3.735,142.9
60,9.31,57.18,3.303,134
60,9.3,57.89,2.775,144.1
60,9.34,57.87,3.012,145.1
60,9.45,57.38,3.329,143.7
60,9.45,57.31,4.124,139.9
60,9.25,57.05,4.119,132.5
60,9.28,57.44,3.82,126.4
60,9.25,57.65,3.574,146.4
60,9.25,57.11,3.562,147.1
60,9.25,57.65,4.056,143.1
60,9.25,57.02,4.382,158.9
60,9.17,56.85,4.206,150.7
60,9.07,57.37,3.829,135.9
60,9.1,58.34,3.216,158.1
60,9.03,58.12,3.144,146.5
60,9.06,58.1,3.474,145.1
60,8.98,58.39,4.154,134.1
60,9.08,58.19,4.02,155.5
60,9.07,58.52,3.616,134.8
60,8.99,58.54,3.267,149.4
60,9.05,58.53,3.505,143.2
60,9.07,58.28,3.392,146
60,9.07,58.41,3.618,145.5
60,9.06,58.67,2.958,136.6
60,9.04,58.16,3.726,147.4
60,8.93,58.26,3.373,150.7
60,9.03,58.19,3.245,157.9
60,8.98,58.12,3.371,157.3
60,8.98,58.89,3.469,150.6
60,8.88,58.35,3.75,158
60,8.89,58.29,3.611,156
60,8.89,58.25,3.154,159.4
60,8.97,58.51,3.056,148.3
60,8.9,58.12,3.025,144.2
60,8.96,58.37,3.848,143.3
60,8.9,58.96,3.484,145.5
60,8.93,58.74,4.139,137.9
60,9.03,58.3,4.882,149.3
60,8.97,57.97,4.493,134.3
60,8.97,58.57,4.203,141.3
60,8.9,58.55,5.236,143
60,8.84,58.38,4.887,143.6
60,8.94,59.25,3.672,144
60,8.83,59.33,3.758,133.5
60,8.94,59.1,4.348,143.6
60,8.83,58.97,4.756,130.9
60,9.04,58.97,4.693,145.4
60,8.84,59.07,4.807,142.4
60,8.85,58.9,4.704,135.2
60,8.89,59.44,4.113,132.2
60,8.85,58.47,5.119,135.1
60,9.03,58.74,4.848,133.2
60,8.98,58.56,5.366,147.3
60,8.99,58.83,4.544,147.4
60,9.06,58.91,4.91,151
60,9.18,58.54,5.062,141.4
60,9.12,58.81,3.822,137.2
60,9.12,59.45,4.193,145
60,8.89,58.93,4.73,152.7
60,8.83,59.1,4.861,150.4
60,8.93,58.85,4.998,148.5
60,8.84,58.45,5.049,166.4
60,8.85,58.8,4.993,128.2
60,8.94,58.25,5.485,138.1
60,8.86,58.28,4.294,145.9
60,8.94,59.03,4.005,144.2
60,8.87,59.12,3.704,135.2
60,8.96,58.73,4.359,151.8
60,8.88,58.81,4.052,139.9
60,8.84,58.68,4.315,141.8
60,8.75,58.86,4.931,148.6
60,8.75,58.55,5.268,139.1
60,8.75,58.7,4.794,142.6
60,8.71,58.45,5.062,145.8
60,8.76,58.31,4.908,140
60,8.77,58.51,3.843,142
60,8.76,59.03,4.341,140.9
