coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
2,0,0,8.85606,10.4203,9.05317,14.6078,14.9437,14.2491,12.1529,29.7724,20.1978,25.5612,45.052,46.6625,47.7199,30.1253,29.0693,0,63.0226,66.1305,2.82823,67.8313,75.1934,64.9849,58.3749,89.0234,92.4086,0,99.2471,86.112,106.653,96.2078,111.252,109.184,100.249,0,106.983,121.902,128.811,0,0,0,0,132.923,134.923,0,0,147.623,0,144.163,0,0,0,145.262,0,0,169.813,0,0,176.28,0,172.718,0,167.781,0,0,0,0,0,0,0,0,0,0,0,0,162.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43885,2.15827,4.31655,7.19424,15.8273,12.9496,2.15827,0.719424,0.719424,0,0,0.719424,1.43885,2.15827,1.43885,0,0.719424,1.43885,0.719424,0,0.719424,2.15827,0.719424,0.719424,2.15827,0.719424,0,2.8777,2.15827,0.719424,0,0.719424,0.719424,0,0.719424,0,0,1.43885,0.719424,0.719424,0.719424,0,1.43885,1.43885,1.43885,1.43885,0.719424,0.719424,1.43885,0,1.43885,0.719424,0,0.719424,1.43885,0.719424,0,0,0,0.719424,0.719424,0,0.719424,0,0.719424,0,0.719424,1.43885,0,0,0,0,0.719424,0.719424,0,0,0,0,1.43885,0,0,0.719424,0,0,0.719424,0,0.719424,0,0.719424,0.719424,0,0,0,0,0,0,0,0,0,0
302,0,22.8988,9.31439,8.75304,9.79916,10.9519,13.381,14.4927,20.8883,45.1955,37.8262,15.7423,32.8105,41.4062,49.1845,61.7639,0,41.4856,57.6014,73.0336,54.3972,65.129,73.3745,64.5318,76.8673,82.6915,93.3985,83.5661,0,0,98.498,0,106.162,44.6632,114.052,0,0,0,108.756,109.933,128.364,0,0,133.109,113.569,91.8528,0,0,0,0,0,0,153.47,0,0,0,0,147.599,175.586,172.418,0,0,0,0,0,0,188.165,0,189.515,0,0,0,0,0,0,0,0,0,0,157.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01342,2.68456,4.02685,8.72483,15.4362,7.38255,0.671141,0,0.671141,0,1.34228,1.34228,0.671141,0,0,0.671141,1.34228,0.671141,1.34228,1.34228,1.34228,0.671141,1.34228,1.34228,0.671141,1.34228,2.68456,0,1.34228,0.671141,2.01342,0.671141,3.3557,1.34228,2.01342,0.671141,2.01342,0,0.671141,2.01342,0,0,1.34228,1.34228,0,2.68456,1.34228,0.671141,0.671141,0,1.34228,0,0.671141,0,0.671141,2.01342,0.671141,0.671141,0.671141,0,0.671141,0,0,0.671141,0,0.671141,0,0,0,1.34228,0,0,0,0.671141,0,0,0.671141,0,0,0,0,0,0,0,0,0,0.671141,0.671141,0,0,0,0.671141,0,0,1.34228,0,0,0,0.671141,0
602,0,6.07688,9.50576,9.47749,9.40056,12.1583,9.37762,14.0991,29.8373,28.4,27.5886,23.7729,45.7285,34.122,46.7182,49.6021,50.0387,68.423,66.8746,53.3633,52.2276,75.6762,0,79.1969,92.1082,73.8199,0,85.5263,73.223,0,0,86.0098,100.509,0,116.073,0,121.312,0,124.744,127.413,108.473,122.824,112.936,135.805,114.559,140.519,129.172,148.729,87.9724,146.497,157.711,0,0,164.353,0,144.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.503,0,0,0,0,0,0,140.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333,2.66667,3.33333,4.66667,10.6667,8.66667,4,2,0.666667,0.666667,0,0,1.33333,0,0,1.33333,1.33333,0.666667,2.66667,0.666667,1.33333,1.33333,1.33333,0.666667,2,0,2.66667,2,1.33333,1.33333,2,1.33333,0.666667,2,2,0.666667,1.33333,0.666667,3.33333,0.666667,0,0.666667,1.33333,1.33333,0.666667,0.666667,0.666667,0.666667,0.666667,0,0.666667,0.666667,0,0,0.666667,0,0.666667,0.666667,0.666667,0.666667,0.666667,1.33333,0.666667,0.666667,0.666667,0,0.666667,0.666667,2,0,1.33333,0.666667,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0
902,0,0,9.37086,8.80529,9.17943,13.8967,8.48019,9.95164,34.5317,16.1449,19.8558,31.3717,44.2277,34.1689,40.7456,37.458,51.6037,0,0,68.2021,57.9912,45.5991,71.0542,65.3422,71.8639,0,90.109,0,99.1626,0,0,80.96,0,96.5896,95.8061,0,0,114.582,0,110.269,0,126.145,127.8,130.684,141.805,0,0,149.902,0,150.734,0,160.811,0,0,164.02,0,0,0,0,171.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78125,5.46875,1.5625,7.03125,15.625,9.375,3.90625,2.34375,0,0,1.5625,0.78125,0.78125,0.78125,0.78125,0.78125,1.5625,0.78125,1.5625,0.78125,3.125,0.78125,0.78125,0.78125,1.5625,2.34375,1.5625,3.125,0.78125,0,3.125,0.78125,0.78125,0,0.78125,0,0.78125,0.78125,0,0,0.78125,2.34375,0.78125,0.78125,2.34375,0.78125,0.78125,0.78125,0,0.78125,0,0,0.78125,0.78125,0,0.78125,0,0,0,0,0,0.78125,0,1.5625,0,0.78125,0,0,0,0,0.78125,0,0,0,0.78125,0.78125,0,0,0,0,0.78125,0,0.78125,0,0.78125,0,0.78125,0,0,0,0,0,0,0.78125,0,0,0,0,0,0
1202,0,0,1.16838,9.69569,10.4743,12.8042,13.1192,17.6125,15.2694,31.9443,19.711,24.0467,54.0265,24.88,53.7401,30.1067,0,47.8835,47.2301,40.189,66.5164,72.8677,0,80.4991,89.2827,75.5094,0,92.6977,77.51,0,99.1139,0,105.879,113.158,109.21,89.5317,0,121.166,0,110.852,0,121.725,112.475,0,143.561,133.191,0,0,142.326,0,152.37,161.311,160.053,0,147.604,0,0,0,0,0,0,170.363,0,0,0,0,0,175.693,0,0,176.998,0,0,0,0,0,0,0,0,150.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42857,2.85714,3.57143,2.85714,12.8571,14.2857,2.85714,0,0.714286,0.714286,0,2.14286,0,1.42857,0,2.85714,0,1.42857,0,2.14286,0,0,0,1.42857,2.14286,2.85714,2.14286,0,2.85714,0.714286,2.14286,0,0,0.714286,2.14286,0.714286,0,1.42857,0,1.42857,0.714286,0.714286,0.714286,0.714286,1.42857,0,0,2.85714,0.714286,1.42857,0.714286,0,0.714286,1.42857,0.714286,1.42857,1.42857,0,0.714286,0,0.714286,0,0.714286,0,0,0,0.714286,0,0,0,0,1.42857,0,0.714286,0,0,0.714286,0,0,0,1.42857,0,0,0,0,0.714286,0,0.714286,0.714286,0,0,0,0,0.714286,0,0,0,0.714286,0,0.714286
1502,0,0,9.80441,9.35334,9.97577,9.33819,8.00272,14.8916,12.5546,35.5364,21.3611,18.1911,33.1304,41.566,35.2739,11.0219,67.8602,70.2979,67.193,71.0938,65.5058,65.9369,60.7851,0,80.7917,74.777,81.1712,97.9785,89.7234,98.1471,87.5823,106.836,82.4471,0,0,98.0885,111.62,119.184,0,121.909,132.108,131.52,129.381,0,0,0,0,149.418,0,0,0,0,155.653,0,0,124.901,0,0,0,0,0,0,0,0,0,192.166,0,0,0,0,0,0,0,0,0,0,0,0,0,150.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694444,3.47222,6.25,9.72222,12.5,12.5,4.16667,1.38889,0,0,0,0,0.694444,0,2.08333,0,0,0.694444,0.694444,0,2.08333,0.694444,0.694444,0.694444,0.694444,0.694444,2.77778,1.38889,1.38889,2.08333,0,1.38889,2.77778,0.694444,0,2.08333,0.694444,2.08333,0.694444,0.694444,2.08333,1.38889,0.694444,0,0.694444,0.694444,0,0,1.38889,1.38889,0.694444,0,0.694444,0.694444,0,0.694444,0,0.694444,0.694444,0,0,0.694444,0.694444,0.694444,0.694444,0.694444,0.694444,0,0,0,0.694444,0,0,0,0.694444,0.694444,0,0,0,0,1.38889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694444,0,0,0
1802,0,8.71039,9.18829,13.1473,10.7974,11.6134,8.80075,11.793,19.1467,10.9388,36.559,2.80257,22.5373,48.9317,25.8213,41.5983,26.6261,58.3522,72.0776,65.7292,60.451,81.5345,72.7005,87.7714,89.9358,51.5612,79.8948,0,96.8301,94.22,82.7973,98.2017,108.652,0,111.809,98.7224,112.513,110.282,0,106.982,125.923,116.462,135.859,137.822,139.022,0,143.476,137.027,134.461,154.725,0,160.413,0,137.473,0,162.423,0,0,130.548,0,175.646,178.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70455,4.54545,4.54545,13.6364,16.4773,6.81818,3.97727,0,0,1.13636,1.13636,1.13636,0.568182,0,0,0,0.568182,0.568182,0.568182,1.13636,2.27273,0,1.70455,0,0,1.13636,2.27273,0.568182,0.568182,0.568182,0.568182,1.13636,0.568182,1.13636,1.13636,0,1.70455,0.568182,0.568182,0.568182,0,2.27273,1.13636,1.13636,0.568182,1.13636,0.568182,0.568182,1.13636,1.13636,0,0,0,0.568182,0.568182,1.70455,1.13636,0.568182,0,0,0,0,0.568182,0,0,1.13636,0.568182,1.13636,2.27273,0,0.568182,0.568182,0,0,0,0,0,0.568182,0,0,0.568182,0.568182,0,0,0,0.568182,0,0,0,0.568182,0.568182,0,0,0,0,0,0,0,0,0
2102,0,8.36872,8.53907,9.73959,9.09695,10.4397,10.8528,13.4682,18.0884,10.853,14.3212,9.58759,31.5815,55.9707,33.4364,18.5912,71.0582,66.3158,70.5677,74.7926,64.1524,58.4981,66.4307,87.9827,79.9047,0,88.1028,98.0325,0,0,82.7746,106.149,0,115.561,107.705,106.51,116.999,0,115.209,0,0,0,0,135.783,0,139.344,0,0,0,114.211,150.773,0,0,162.471,0,147.165,0,0,0,177.036,0,0,186.072,0,0,187.162,0,0,184.961,0,0,0,0,160.185,0,0,0,0,0,136.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89573,6.16114,8.05687,13.2701,18.9573,14.218,0.947867,0.473934,0.473934,0,0.947867,0,0.947867,0,0.473934,0.473934,1.89573,0.473934,0,0.947867,1.4218,0.473934,0.473934,0.473934,0.473934,0.947867,1.4218,0.473934,0.947867,0.947867,0,0,0.473934,0.947867,0.947867,0.947867,0,1.4218,1.4218,0,0.473934,0.473934,0.947867,0.473934,0,0.473934,0,0,0.947867,0.473934,0,0,0,1.4218,0,0,0.473934,1.4218,0,0,0.473934,0,0,0,0,0,0,0.473934,0.473934,0,0.473934,0,0,0.473934,0,0.473934,0,0,0,0.473934,0.473934,0.473934,0.473934,0,0,0,0,0,0.473934,0,0,0,0.473934,0.947867,0,0.473934,0,0.473934,0,0
2402,0,6.83511,10.6815,9.14863,10.8591,9.38585,8.24515,8.74102,16.4565,23.0982,17.3194,13.1335,28.9382,22.5991,62.0947,60.8655,47.773,62.7795,29.0949,71.6991,75.8737,58.2731,0,76.6632,89.2343,91.6106,0,92.749,99.5891,0,0,105.366,103.038,104.989,0,0,114.439,0,106.854,0,133.189,115.397,0,0,0,131.734,145.503,0,141.326,0,0,152.638,144.894,158.779,156.132,164.061,145.873,0,168.873,0,176.58,0,0,126.366,0,0,0,0,0,0,192.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21101,6.42202,6.88073,12.844,16.9725,11.4679,3.66972,0,0,0.458716,0.458716,0.458716,0,0,0,0,0,0.458716,0.917431,0.458716,0.917431,0,1.37615,0.917431,0.917431,0.917431,0.458716,2.29358,0.458716,1.37615,0,1.37615,0.458716,0.917431,1.37615,0.458716,0.917431,0,0.458716,0.458716,0.917431,0,0.458716,0,0.917431,1.37615,1.37615,0,0.458716,0.458716,0,1.83486,0,0.917431,0.917431,0,0.458716,0.458716,0.458716,0,0.917431,0,0,0.458716,0,0.458716,0.458716,0,0,0,0.458716,0.458716,1.37615,0,0,0,0,0,0.458716,0.917431,0.458716,0,0,0,0.917431,0,0,0,0.458716,0,0,0,0,0,0,0,0.458716,0,0,0
2702,0,0,8.44184,8.87642,8.98217,10.806,9.79878,9.69863,7.73609,15.7955,20.7347,23.8261,30.5997,27.4233,61.8305,6.4213,36.1337,48.5808,59.4516,0,76.217,72.7747,59.9454,76.6495,83.4971,89.135,79.8272,91.9656,94.399,0,105.658,82.1979,0,0,93.5716,0,121.753,123.558,0,129.182,121.175,132.384,132.469,132.479,135.467,0,139.458,0,0,0,0,151.147,0,0,0,0,0,0,0,0,0,0,0,0,191.482,173.844,0,0,183.906,0,0,0,0,0,0,0,0,0,0,175.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60417,4.6875,5.72917,17.7083,18.2292,9.375,3.125,0.520833,0,0,0.520833,0,0.520833,0,0,0.520833,0,0.520833,0.520833,0.520833,1.5625,1.04167,1.5625,1.5625,0,0.520833,1.04167,1.04167,2.08333,1.04167,0.520833,1.04167,0,0.520833,0,1.04167,0.520833,1.5625,1.04167,0.520833,0.520833,0.520833,1.5625,0.520833,0,1.5625,0,1.04167,0.520833,0.520833,0,0,0.520833,0.520833,0,0,0,0,0,0,1.04167,0.520833,0.520833,0,0.520833,0.520833,1.5625,0.520833,0,0.520833,0,0,0,0.520833,0,0.520833,0,0,0,0,0,0,0,0,0,0,0.520833,0.520833,0,0,0,0.520833,0,0,0,0.520833,0,0,0,0
