bthour,lat_0,lat_1,lat_2,lon_0,lon_1,lon_2,alt_0,alt_1,alt_2,Pamb_0,Pamb_1,Pamb_2,Theta_0,Theta_1,Theta_2,Tamb_0,Tamb_1,Tamb_2,precipitation_0,precipitation_1,precipitation_2,MixedLayer_0,MixedLayer_1,MixedLayer_2,RH_0,RH_1,RH_2,TerrainHeight_0,TerrainHeight_1,TerrainHeight_2,solarFlux_0,solarFlux_1,solarFlux_2
0,76.514,76.514,76.514,-68.534,-68.534,-68.534,50,100,150,935.6,929.5,923.7,277.7,279.5,280.4,272.4,273.7,274,0,0,0,50.7,50.7,50.7,61.5,55.9,52.5,439.4,439.4,439.4,112.4,112.4,112.4
1,76.591,76.603,76.609,-68.729,-68.755,-68.769,99.7,159.2,209.9,925.9,918.5,912.4,280.1,281.1,281.9,273.9,274.3,274.5,0,0,0,47.2,46.8,46.5,53.8,50,47.1,470.5,475.3,478.1,110.2,110.6,110.8
2,76.674,76.692,76.703,-68.874,-68.909,-68.932,161.7,221,270.6,914.3,906.7,900.7,281.7,282.6,283.1,274.5,274.7,274.7,0,0,0,40.9,39.8,39.2,47.2,44.4,42.9,510.4,518.3,522.4,108.2,108.8,109.2
3,76.758,76.779,76.792,-68.973,-69.014,-69.047,221.5,277.8,323.8,902.5,895.3,889.7,283.1,283.6,284,274.8,274.7,274.6,0,0,0,33.2,31.4,30,42.6,41.4,40.5,555.9,564.6,568.7,106,106.7,107
4,76.838,76.859,76.873,-69.027,-69.075,-69.119,278.9,330.2,371.1,890.9,884.3,879.5,283.9,284.4,284.7,274.7,274.5,274.4,0,0,0,27.4,25.6,24.4,42.4,41.4,40.7,604.8,612.8,615.2,119.3,119.8,120.2
5,76.912,76.935,76.949,-69.038,-69.092,-69.142,336.1,381.8,418.4,879,873.2,869.1,284.7,285.1,285.4,274.4,274.2,274.1,0,0,0,25.1,23.9,23.1,42.7,41.9,41.4,656.8,663.3,664.5,131.9,132.6,133.1
6,76.983,77.006,77.022,-69.007,-69.064,-69.116,390.8,432.9,467.5,866.9,862,858.9,285.4,285.7,285.9,274,273.8,273.7,0,0,0,26.3,25.9,26.4,43.7,43.2,42.8,713.6,717.2,712.3,143.8,144.6,145.3
7,77.054,77.079,77.097,-68.94,-68.995,-69.048,447.8,488.5,522.1,856.6,852.6,849.5,285.8,286.1,286.3,273.4,273.3,273.2,0,0,0,22.1,22.8,23.8,45.7,45.2,44.8,756.8,753.7,749.3,232.3,232.6,232.9
8,77.13,77.155,77.173,-68.844,-68.897,-68.95,509.4,548.7,580.7,845.6,841.8,839,286.3,286.5,286.7,272.8,272.7,272.6,0,0,0,18.9,19.6,20.1,47.6,47,46.5,801.6,798.8,793.6,319.3,319.5,319.8
9,77.206,77.229,77.246,-68.727,-68.777,-68.829,567,605.2,635.6,834.5,830.8,828.3,286.7,286.9,287,272.2,272.1,271.9,0,0,0,15.5,16.1,16.6,49.3,48.7,48.4,853,849.9,844.1,404.6,404.8,405
