avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240729 00:01:01,61,,47.8822,,1.151,213.229,329.694,66.7932,99.7875
20240729 00:02:01,121,,49.3422,,1.08517,224.022,340.184,64.6198,97.6819
20240729 00:03:01,181,2.38,39.6408,0.981833,1.52017,214.215,316.556,69.4813,119.779
20240729 00:04:01,241,,37.4692,,1.56667,214.122,308.787,68.1188,110.935
20240729 00:05:01,301,,38.5008,,1.14217,216.013,316.932,65.1861,99.2203
20240729 00:06:01,361,,33.4185,,1.61383,213.796,293.729,67.103,133.999
20240729 00:07:01,421,3.11983,33.8792,1.0345,1.60017,211.932,292.355,65.9291,109.579
20240729 00:08:01,481,2.51983,33.5593,0.9065,1.403,214.036,298.617,66.3105,124.786
20240729 00:09:01,541,,36.311,,2.24667,214.173,301.395,68.678,201.805
20240729 00:10:01,601,2.82017,35.7927,1.17667,1.82067,209.669,292.596,68.271,126.179
20240729 00:11:01,661,2.92,39.6893,0.994167,1.54,214.209,313.374,63.6591,136.925
20240729 00:12:01,721,,45.0217,,1.4575,221.838,334.661,65.6552,124.748
20240729 00:13:01,781,2.48,40.9015,1.0185,1.57617,209.094,304.283,68.0468,128.858
20240729 00:14:01,841,2.68017,44.0208,0.920833,1.425,217.265,326.314,67.0079,108.451
20240729 00:15:01,901,2.47,39.3418,0.998667,1.544,218.363,321.183,67.1688,134.209
20240729 00:16:01,961,,38.85,,1.18217,219.361,321.362,66.4618,104.229
20240729 00:17:01,1021,,34.829,,1.269,219.314,321.837,67.7664,111.446
20240729 00:18:01,1081,,38.0995,,1.24733,221.613,331.338,65.2388,110.086
20240729 00:19:01,1141,,38.4298,,1.507,216.437,319.027,71.267,105.945
20240729 00:20:01,1201,,37.2813,,1.445,216.816,320.189,69.8998,122.773
20240729 00:21:01,1261,,38.9625,,1.506,221.701,328.071,70.461,134.197
20240729 00:22:01,1321,,37.599,,2.67533,218.146,323.16,72.3303,393.888
20240729 00:23:01,1381,,41.1602,,2.5805,222.794,333.35,70.6362,432.547
20240729 00:24:01,1441,,38.5215,,1.55883,220.022,327.601,72.6509,188.453
20240729 00:25:01,1501,,37.6887,,1.138,216.682,319.786,71.1018,103.149
20240729 00:26:01,1561,,39.7912,,1.879,218.555,321.167,71.3531,174.897
20240729 00:27:01,1621,,38.5893,,1.79633,216.215,322.562,68.4442,191.543
20240729 00:28:01,1681,,36.0125,,1.538,215.398,313.649,69.2838,145.633
20240729 00:29:01,1741,,36.3427,,1.95283,213.454,308.534,74.2767,155.462
20240729 00:30:01,1801,,39.3128,,1.2585,216.074,317.677,69.1458,135.165
20240729 00:31:01,1861,,44.4013,,1.79567,224.533,339.442,72.6574,122.596
20240729 00:32:01,1921,,46.489,,2.058,224.237,341.461,73.5611,185.209
20240729 00:33:01,1981,,43.9038,,1.33633,218.672,329.596,68.8869,113.744
20240729 00:34:01,2041,2.64,43.0192,1.75567,2.7145,227.028,340.32,74.4238,188.99
20240729 00:35:01,2101,2.76,42.979,2.53567,3.9245,225.689,342.9,74.4784,357.891
20240729 00:36:01,2161,2.96017,35.1307,1.9975,3.09133,217.887,318.427,70.5762,321.225
20240729 00:37:01,2221,3.05,38.2882,2.21633,3.42967,218.424,321.495,74.0328,244.547
20240729 00:38:01,2281,3.5,36.2968,3.59417,5.55983,213.373,308.515,74.9462,371.713
20240729 00:39:01,2341,,41.33,,3.15033,214.631,324.614,76.9252,166.882
20240729 00:40:01,2401,3.03017,39.1502,2.42817,3.75633,209.18,301.658,75.997,233.169
20240729 00:41:01,2461,,41.2328,,2.09733,216.067,322.306,70.2109,142.517
20240729 00:42:01,2521,2.68,43.701,1.40917,2.1785,224.967,338.956,75.405,122.264
20240729 00:43:01,2581,2.94,38.7818,1.79717,2.781,215.119,312.617,77.2743,142.39
20240729 00:44:01,2641,2.76,39.8017,1.63117,2.524,211.565,311.467,73.4595,169.469
20240729 00:45:01,2701,3.19983,41.2105,1.88883,2.92083,214.268,317.757,75.634,155.399
20240729 00:46:01,2761,,38.6292,,4.89417,208.651,303.156,75.3598,396.116
20240729 00:47:01,2821,2.8,37.8702,2.14933,3.32433,208.322,296.207,76.6606,202.234
20240729 00:48:01,2881,2.63983,36.698,1.80583,2.79417,209.2,296.836,75.5707,227.873
