coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
2,0,10.9845,19.0569,15.213,23.1954,26.4922,28.3396,33.3835,38.0405,43.362,34.5064,38.1802,47.0956,51.9067,44.8975,54.6944,53.379,56.4934,65.1337,74.2021,68.112,70.4932,62.9402,63.1081,84.32,68.1562,92.4792,95.3819,87.0725,103.699,0,100.995,0,113.883,112.752,113.586,113.664,123.573,114.105,122.144,114.058,134.712,125.244,127.539,0,141.396,130.658,149.368,0,153.105,153.14,0,0,0,153.701,147.057,0,0,0,0,168.936,0,0,190.891,0,0,0,197.713,0,197.192,0,0,199.9,0,0,186.151,0,0,0,23.0872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25523,2.51046,3.34728,1.67364,1.25523,1.25523,0.41841,2.09205,1.67364,2.51046,1.25523,2.09205,1.25523,2.09205,0.41841,3.34728,2.09205,3.76569,3.34728,2.51046,2.09205,1.67364,1.67364,1.25523,2.51046,1.25523,2.51046,2.92887,2.09205,1.67364,0.83682,2.51046,2.09205,1.67364,1.67364,2.09205,1.67364,0,2.09205,0.41841,1.67364,0.41841,0.41841,0.41841,0.41841,0.41841,1.25523,0,0.41841,1.67364,0.41841,1.25523,0.83682,0.83682,2.51046,0.41841,0.41841,0.41841,1.25523,0.41841,0.41841,0,0,0.83682,1.25523,0,0.83682,0.83682,0,0,0.41841,0.83682,0,0.41841,0,0.41841,0,0,0,0.41841,0,0.41841,0,0,0,0,0,0,0,0,0.41841,0,0.41841,0,0,0.83682,0.41841
302,0,15.4377,10.1867,24.2444,28.4365,26.7385,31.5088,33.1637,32.4467,41.7146,43.5429,43.9244,40.0246,43.2075,53.0306,52.1399,55.8688,54.0312,55.9967,53.6931,64.4078,74.3147,62.3662,66.6784,82.7406,93.2455,91.708,74.4078,79.646,96.8004,95.3381,96.3538,110.025,103.515,0,111.208,104.15,123.568,114.983,117.611,0,134.471,0,138.955,0,135.68,143.063,137.774,0,0,151.441,0,0,0,0,0,165.882,174.338,176.141,0,151.035,0,0,0,0,0,178.222,0,190.754,0,0,194.038,0,161.266,0,180.993,0,0,0,38.5953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.628931,0.628931,0,0,2.51572,3.45912,2.20126,2.20126,1.57233,1.57233,1.57233,0.943396,1.25786,0.628931,0.628931,2.83019,2.20126,1.88679,1.25786,1.88679,3.77358,2.83019,3.14465,1.25786,4.71698,2.51572,2.20126,3.14465,2.20126,3.14465,2.20126,2.20126,2.20126,1.88679,1.57233,1.57233,1.25786,0.943396,1.25786,1.25786,1.88679,0.943396,2.83019,0.628931,0.314465,0.628931,1.57233,1.25786,0.943396,0.628931,0.314465,0.628931,1.88679,0.628931,0.314465,0.314465,0.628931,0.314465,0,0,0,0.314465,0.314465,0.314465,0.314465,0,0,0.943396,0,0.628931,0.628931,0.628931,0,0,0,0.314465,0,0.314465,0.314465,0,0.314465,0,0.314465,0,0,0,0.314465,0.314465,0.314465,0.314465,0.314465,0,0,0,0.314465,0,0.314465,0.314465,0,0
602,0,9.68639,16.2594,18.3039,24.8641,30.1965,33.4752,36.9066,37.2425,41.8111,37.8623,51.3604,46.342,45.7205,52.8173,56.1049,51.6087,58.2629,58.9229,72.5619,66.0872,64.0439,72.8984,70.1987,72.8974,78.8392,92.7725,82.5955,99.0099,78.7383,108.541,106.427,104.94,112.007,106.986,115.278,119.99,111.215,124.925,125.579,0,127.706,137.726,133.908,0,145.861,147.611,143.762,0,143.007,0,133.712,104.807,0,156.633,102.837,0,166.589,174.146,0,175.731,0,0,0,0,0,185.605,180.629,0,0,0,0,0,0,0,0,0,193.556,0,123.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347222,0,0.694444,0.347222,0.694444,1.38889,2.43056,0.694444,1.04167,0.694444,1.04167,1.73611,2.08333,2.08333,1.38889,2.08333,2.08333,2.77778,4.16667,3.47222,1.73611,3.125,2.08333,2.43056,2.77778,1.38889,3.125,1.04167,3.125,3.81944,1.04167,1.73611,1.73611,1.04167,2.08333,1.38889,3.81944,1.73611,2.43056,1.73611,1.38889,0.694444,0.347222,0.347222,0.347222,1.04167,1.04167,0.694444,0.347222,0.694444,0.347222,2.08333,0.347222,0.347222,1.73611,0,0.347222,0.694444,1.38889,0.694444,0.694444,0.694444,0.694444,0.347222,1.38889,0.694444,0,0,0.694444,0.347222,0.347222,0.694444,0.347222,0.347222,0,0,0,0,0,0.347222,0,0.347222,0.347222,0.347222,0,0,0,0.694444,0,0,0.347222,0,0.347222,0,0,0,0.347222,0,0,0
902,6.47315,8.90828,0,16.1032,20.4196,29.5315,27.6813,35.1917,36.7267,41.0106,38.0459,40.7366,44.7875,45.054,46.2516,52.7878,48.2871,63.2981,71.9444,60.7729,71.6447,68.7578,79.3394,77.5062,62.75,71.9736,84.5942,72.2389,86.9798,88.2959,97.1769,103.676,95.1113,103.767,111.772,105.673,122.785,0,116.54,118.175,111.266,127.118,121.322,117.15,0,0,138,148.728,136.182,0,0,159.272,154.69,0,0,146.996,0,136.577,147.473,177.753,163.919,0,166.596,184.23,188.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0.364964,1.82482,1.09489,2.55474,1.82482,1.82482,0.364964,1.45985,0.729927,1.45985,1.09489,4.74453,1.09489,2.18978,0.729927,2.18978,2.91971,1.45985,2.18978,1.82482,2.55474,1.45985,1.82482,2.55474,3.28467,1.82482,2.18978,3.28467,2.91971,2.55474,1.09489,2.55474,1.82482,1.82482,0.364964,1.45985,0.729927,2.18978,2.18978,1.82482,0.729927,0.729927,1.09489,1.82482,1.45985,1.82482,0.364964,0.729927,1.09489,0,1.45985,0.729927,0.729927,0.729927,0.364964,0.364964,0,0.364964,0.364964,0.729927,0.729927,1.09489,0.729927,0,0,0,0.729927,0.364964,0,0.364964,0,2.18978,0,0.364964,0,0.364964,0,0.364964,0,0.364964,0,0.364964,0,0,0,0,0.364964,0,0,0,0.364964,0,0.729927,0,0,0,0,0
1202,0,0,10.7246,13.3361,18.484,25.0306,30.7368,31.6513,37.0525,44.2536,38.0789,46.5958,47.1392,53.4939,46.6661,53.1007,51.368,57.4218,53.4664,68.0688,73.9504,62.1396,73.5252,69.4221,73.6895,75.6383,82.6877,95.0889,64.3311,95.0559,95.9553,107.302,100.691,111.169,114.237,109.754,111.729,117.606,121.472,111.936,126.628,136.491,127.369,128.65,140.405,136.912,0,146.109,148.688,154.401,155.055,0,0,150.892,156.327,0,0,0,0,0,0,0,0,176.347,180.526,0,0,192.545,0,190.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311526,0.623053,0,0.311526,2.18069,2.80374,1.86916,0.623053,1.24611,1.86916,0.934579,1.24611,1.86916,1.55763,2.18069,2.18069,0.623053,1.24611,1.86916,2.80374,2.49221,2.49221,2.80374,1.86916,2.49221,3.11526,1.86916,3.42679,1.86916,2.49221,1.86916,2.49221,2.49221,1.24611,2.18069,1.24611,3.11526,1.86916,1.86916,1.86916,0.934579,0.623053,2.18069,0.934579,0.623053,1.86916,1.24611,0.623053,0.623053,1.24611,0.311526,0.311526,0.623053,1.24611,1.24611,0.934579,0.623053,0.311526,0.311526,0.623053,0.623053,0.934579,0.934579,0,0.311526,0.311526,0,0.311526,0.311526,0,0.623053,0,0.623053,0.623053,0,0.311526,0.311526,0.623053,0.311526,0,0,0,0.311526,0,0,0,0,0,0.311526,0,0,0,0,0,0,0.311526,0.934579,0,0,0
1502,0,10.1405,12.8832,19.2412,23.0675,30.854,30.6501,34.2251,38.0466,36.8284,41.7457,48.4569,36.8893,59.4926,41.1924,52.1103,57.8784,60.0357,61.2989,64.1084,54.9976,63.3188,75.5847,72.0225,73.3027,84.149,43.2061,94.3382,100.452,100.786,97.4302,94.2746,98.7739,107.483,99.0469,107.252,114.135,114.377,111.233,0,134.211,0,135.661,138.591,142.271,126.584,141.235,106.443,0,0,141.412,152.237,0,0,162.813,0,130.752,157.412,0,176.634,0,163.231,0,0,0,174.486,0,0,0,186.148,0,0,0,0,0,187.192,0,0,0,197.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294118,0,1.17647,1.47059,3.23529,2.64706,1.17647,2.94118,0.882353,0.588235,2.05882,1.47059,2.64706,2.35294,2.35294,2.94118,0.588235,2.05882,2.94118,2.64706,2.94118,2.35294,2.05882,2.64706,4.41177,1.47059,1.47059,2.05882,1.76471,3.52941,0.882353,1.76471,2.05882,2.35294,2.35294,1.76471,1.76471,0.882353,1.17647,0.882353,1.76471,1.17647,0.882353,0.882353,1.47059,0.588235,0.588235,0,0.588235,1.17647,0.588235,0.588235,0.882353,0.588235,0.588235,0.882353,0.294118,0.294118,0.294118,0.294118,0,0.294118,0.294118,0,0.294118,0.294118,0.882353,0,0.588235,0.882353,0.882353,0.588235,0.294118,0,0,0.294118,0,0.294118,0.294118,0,0.294118,0,0,0,0,0,0.294118,0.588235,0,0.294118,0,0,0.294118,0,0,0,0,0.588235,0
1802,0,9.78835,11.4463,24.9415,19.491,28.3921,32.1056,25.7663,36.0827,35.9122,44.6881,43.2415,47.4325,46.5966,49.8687,51.6498,49.3827,40.8457,63.8425,68.9737,69.5585,65.0722,78.2304,73.6577,83.7213,95.0867,84.1178,69.8249,86.1322,84.2298,96.6604,106.978,77.5342,0,107.894,0,103.829,0,0,0,121.208,122.226,0,103.516,0,131.702,135.632,149.024,103.194,0,158.525,147.088,140.547,0,0,95.4394,0,0,0,0,0,165.639,0,0,0,194.975,0,177.246,0,0,0,0,0,0,193.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545,0,0,0.454545,2.72727,1.36364,2.27273,0.909091,1.36364,0.909091,1.36364,1.81818,0.909091,2.72727,1.36364,2.72727,2.27273,1.81818,3.18182,3.18182,0.909091,1.81818,1.81818,2.27273,0.454545,1.36364,0.909091,3.63636,4.54545,5,2.72727,2.27273,2.27273,1.36364,1.36364,2.72727,3.63636,2.27273,1.81818,1.36364,2.27273,1.36364,0.454545,1.81818,0.454545,0.909091,1.36364,1.36364,0.454545,0.909091,0.909091,1.36364,0.454545,0,0.909091,0.454545,0.454545,0.454545,0,0,0,0,0,0,0,0.454545,0.454545,0.454545,0,0.909091,0.909091,0,0.454545,0.454545,0,0.454545,0,0.454545,0,0.454545,0,0,0.454545,0,0,0,0,0,0.454545,0,0,0,0,0,0,0,0.454545,0.454545,0,0
2102,0,0,16.5048,16.4799,25.9077,32.1655,30.1267,32.271,35.0923,39.1406,42.2982,52.0679,41.2878,47.3231,47.6206,61.5342,56.0447,55.1121,55.981,69.0593,58.3702,70.1982,80.6449,57.6523,81.1563,85.3494,60.9302,93.0069,102.427,87.132,96.5875,0,90.9256,90.4205,108.411,106.816,113.475,119.456,127.663,0,131.279,97.5638,0,136.277,0,128.85,123.62,140.589,148.273,140.831,142.664,146.965,158.545,162.905,0,0,152.623,0,176.605,0,0,178.45,0,0,0,0,0,197.162,0,197.045,0,0,0,0,0,0,49.1457,0,139.767,199.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716846,1.07527,0.716846,1.43369,0.716846,1.79211,1.43369,0.716846,0.716846,2.15054,1.43369,1.07527,3.22581,1.79211,0.716846,2.86738,0.716846,3.58423,3.22581,3.22581,2.15054,3.58423,3.94265,1.79211,2.50896,3.22581,1.79211,2.50896,1.79211,2.15054,0,1.07527,3.22581,4.30107,1.07527,1.43369,0.716846,2.50896,0.358423,2.15054,0.716846,0.358423,1.43369,0.716846,1.43369,0.358423,1.07527,1.07527,0.716846,1.07527,0.716846,0.716846,0.358423,0.358423,0.358423,0.716846,0,1.43369,0.358423,0,0.358423,0.716846,0,1.07527,0.358423,0.358423,0.716846,1.07527,0,0,0.358423,0.716846,1.43369,0,0.358423,0,0,0.358423,0,0.358423,0,0,0,0,0.358423,0,0.358423,0.358423,0,0,0,0,0,0,0,0,0.716846,0.358423
2402,0,9.11499,11.2982,11.9356,22.1222,32.7898,30.6107,30.6887,41.6297,41.7233,41.3833,43.3728,47.9704,50.0044,49.2309,52.2303,59.8679,59.7863,53.2171,62.575,66.0978,69.867,77.8941,66.9728,83.5723,63.9907,80.2636,77.5815,77.5634,98.9096,103.209,104.581,94.949,0,115.613,0,106.524,105.913,0,129.411,124.412,127.934,132.532,0,114.474,0,116.661,0,154.111,140.962,143.219,0,149.997,151.036,0,159.293,0,165.499,171.829,178.674,0,173.081,0,0,191.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352113,0.352113,0,2.46479,2.11268,2.11268,1.40845,0.352113,0.352113,1.05634,1.40845,2.11268,1.05634,1.40845,1.40845,1.40845,2.11268,3.52113,2.8169,3.16901,1.40845,2.8169,3.16901,2.11268,3.16901,2.46479,3.52113,2.11268,2.11268,2.8169,3.16901,2.11268,0.704225,2.11268,3.16901,0.704225,3.52113,0.704225,1.40845,1.05634,0,0.704225,2.46479,1.05634,1.40845,0.704225,1.40845,0.352113,1.76056,0.352113,1.05634,0.704225,0.352113,0.352113,0.352113,1.05634,0.704225,0.352113,0.352113,0,0.704225,0,0,0.704225,1.05634,0.704225,0.352113,0.704225,0,0.352113,0.352113,0,0,0,0.352113,0.352113,0.352113,0.704225,0,0,0.352113,0.704225,0,0,0.352113,0.352113,0,0,0.352113,0,0,0,0,0,0.352113,0,0,0,0
2702,0,9.56523,9.65911,12.4316,25.2987,26.5195,31.8978,34.4282,31.0248,37.8448,33.205,47.2654,41.2605,41.0586,45.9978,46.2224,46.2163,57.3991,66.4839,50.7252,57.0845,56.1418,77.275,49.3426,86.8515,90.4266,49.8019,89.0315,73.097,89.1238,93.8193,0,105.107,100.047,117.252,112.956,121.375,111.76,116.646,127.694,122.721,115.682,131.125,0,130.159,121.919,147.003,137.042,143.46,153.751,154.646,136.443,0,0,0,162.036,139.482,0,0,175.653,161.582,0,0,0,0,0,0,192.567,0,0,0,0,0,0,0,0,0,0,0,22.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378788,0.378788,0,1.89394,4.16667,1.89394,2.27273,1.13636,2.65152,1.51515,1.13636,1.89394,1.89394,2.65152,2.27273,1.89394,3.40909,4.16667,1.51515,1.51515,2.27273,3.78788,2.27273,3.78788,1.13636,2.65152,3.40909,1.51515,2.27273,1.51515,1.51515,1.89394,1.13636,1.13636,0.757576,1.13636,1.13636,1.89394,1.13636,0.757576,1.13636,0.757576,1.51515,1.51515,0.378788,1.13636,1.51515,0.757576,0.757576,0.378788,0,0.757576,1.13636,1.13636,0.378788,0.757576,1.13636,0.378788,0,0.757576,0.378788,0.757576,0.757576,0,0.757576,0,0.378788,0.757576,0,0,0,0,0.757576,0.378788,0,0.378788,0.378788,0,0,0.378788,0.378788,0,0,0,0,0.378788,0.378788,0,0,0,0,0,0,0,0.378788,0,0.378788,0,0
