seconds,tamb,rh,ws,wd
60,4.427,77.88,1.076,273.9
60,4.468,77.11,1.192,289.3
60,4.599,76,1.076,246.9
60,4.471,75.77,0.98,251.3
60,4.581,74.99,1.135,263.7
60,4.555,74.72,0.941,265.1
60,4.701,73.93,0.898,261.6
60,4.687,73.53,1.003,251.4
60,4.836,73.68,1.081,248.5
60,4.868,73.11,0.944,246.3
60,5.071,72.38,0.921,256.8
60,4.917,72.36,0.955,249.7
60,5.109,73.94,1.014,285.3
60,5.096,72.33,1.341,273
60,5.156,70.84,1.253,261.7
60,5.143,71.62,1.331,265.9
60,5.235,71.89,1.323,272.4
60,5.238,71.6,1.33,271.2
60,5.376,71.14,1.295,247.9
60,5.378,72.39,1.184,249.5
60,5.369,70.85,1.352,269.5
60,5.293,71.06,1.563,272.4
60,5.28,71.17,1.39,267.9
60,5.34,70,1.635,274.8
60,5.327,73.91,1.704,276.2
60,5.337,71.85,1.47,280
60,5.442,72.39,1.717,301
60,5.33,74.13,1.62,279.2
60,5.353,73.44,1.316,294.5
60,5.374,72.9,1.617,259.4
60,5.346,72.67,1.3,270.8
60,5.38,72.63,1.395,247.6
60,5.286,71.1,1.512,261.7
60,5.33,71.89,1.56,270.8
60,5.189,71.5,1.828,286.3
60,5.112,72.14,1.749,298.2
60,5.122,75.88,2.212,321
60,4.963,76.7,2.378,298.1
60,4.794,76.04,1.908,295
60,4.644,79.29,1.782,278.3
60,4.605,79.37,1.885,305.8
60,4.336,80.1,1.622,309.5
60,4.232,79.6,1.606,300.5
60,4.248,78.8,1.496,285.2
60,4.33,77.52,1.619,280.9
60,4.364,77.06,1.462,286
60,4.334,76.46,1.8,258
60,4.322,75.75,1.336,262.3
60,4.337,76.17,1.526,265
60,4.461,75.19,1.375,284.6
60,4.513,76.86,1.565,274.6
60,4.601,75.78,1.431,271.1
60,4.648,75.85,1.483,260.6
60,4.606,75.62,1.606,277.6
60,4.698,75.69,1.656,268.9
60,4.694,74.02,1.557,285.4
60,4.613,74.94,1.671,285
60,4.665,75.97,1.739,274.5
60,4.647,73.96,1.929,284.1
60,4.692,75.43,1.826,303
60,4.612,76.53,1.942,277.4
60,4.724,75.23,1.398,271.9
60,4.782,75.66,1.673,292.4
60,4.782,74.56,1.757,274.6
60,4.654,74.72,1.628,252.6
60,4.655,76.05,1.913,295.7
60,4.607,76.07,1.963,296.9
60,4.658,76.39,1.916,288.1
60,4.495,77.46,2.029,308.8
60,4.333,79.23,2.112,292.4
60,4.25,79.77,1.908,294.8
60,4.103,81.1,1.904,307.7
60,3.836,80.6,1.983,308
60,3.968,82,1.991,288.1
60,3.774,81.3,1.952,288.6
60,3.648,81.6,2.063,285.9
60,3.512,82.3,2.127,290.3
