avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240624 00:01:01,61,,143.614,,0.531833,210.474,318.627,67.841,123.209
20240624 00:02:01,121,,160.317,,0.485833,217.596,337.938,67.0543,120.924
20240624 00:03:01,181,,140.637,,2.16983,211.224,315.604,74.204,481.952
20240624 00:04:01,241,,121.648,,0.771,210.355,308.012,68.9031,122.76
20240624 00:05:01,301,,109.443,,0.850833,207.062,299.645,69.6637,116.803
20240624 00:06:01,361,,123.178,,2.5075,198.327,280.796,76.8904,371.503
20240624 00:07:01,421,,134.809,,0.7655,197.82,292.039,71.7098,139.559
20240624 00:08:01,481,,,,0.868333,197.167,272.095,70.7308,146.059
20240624 00:09:01,541,,149.262,,0.864833,186.985,262.779,71.6627,151.28
20240624 00:10:01,601,,163.414,,0.939333,187.876,279.276,68.3936,130.626
20240624 00:11:01,661,,157.318,,0.565833,183.343,261.128,66.9299,105.983
20240624 00:12:01,721,,167.187,,0.629333,184.116,260.724,67.1348,102.081
20240624 00:13:01,781,,169.012,,1.13333,188.839,280.763,70.8254,302.484
20240624 00:14:01,841,,158.529,,0.785667,187.622,277.043,68.684,149.488
20240624 00:15:01,901,,179.429,,1.0025,185.095,265.265,72.2701,194.883
20240624 00:16:01,961,,173.884,,0.938833,187.161,271.411,72.4387,169.569
20240624 00:17:01,1021,,176.387,,0.827167,189.235,278.964,74.7406,153.215
20240624 00:18:01,1081,,,,0.808667,187.963,281.782,72.9243,135.421
20240624 00:19:01,1141,,181.873,,0.930833,187.886,290.387,71.452,166.185
20240624 00:20:01,1201,,160.711,,0.914333,185.39,273.793,73.5836,160.71
20240624 00:21:01,1261,,145.285,,0.9145,185.645,272.4,70.7864,166.318
20240624 00:22:01,1321,,,,0.939333,184.146,264.133,72.2821,155.065
20240624 00:23:01,1381,,169.262,,1.318,183.282,266.123,76.1262,187.757
20240624 00:24:01,1441,,170.025,,0.639,182.437,261.449,67.245,99.9613
20240624 00:25:01,1501,,173.724,,0.8305,184.458,268.225,69.2471,130.943
20240624 00:26:01,1561,,143.127,,0.766333,191.025,272.758,70.5202,125.728
20240624 00:27:01,1621,,136.252,,1.742,190.955,272.041,78.3188,177.208
20240624 00:28:01,1681,,128.626,,1.25017,188.673,264.357,71.3152,189.781
20240624 00:29:01,1741,,131.481,,1.1865,186.356,269.907,69.7148,155.723
20240624 00:30:01,1801,,,,0.873167,186.984,277.948,72.0633,143
20240624 00:31:01,1861,,190.951,,0.886,189.778,282.507,71.0636,182.527
20240624 00:32:01,1921,,,,0.7065,192.778,288.388,76.5357,155.565
20240624 00:33:01,1981,,,,0.412333,191.119,282.428,67.3319,115.274
20240624 00:34:01,2041,,190.253,,0.676,191.083,286.334,76.7223,134.303
20240624 00:35:01,2101,,,,0.713833,196.944,292.609,80.7389,141.667
20240624 00:36:01,2161,,191.904,,0.718833,200.977,313.46,75.0052,121.732
20240624 00:37:01,2221,,172.144,,2.034,195.004,296.128,74.0805,342.718
20240624 00:38:01,2281,,161.042,,0.4685,194.65,284.667,64.999,108.286
20240624 00:39:01,2341,,157.737,,0.981167,192.844,280.046,72.4235,179.826
20240624 00:40:01,2401,,,,0.803167,202.262,292.998,73.724,155.583
20240624 00:41:01,2461,,117.331,,0.748833,207.712,300.481,70.4188,124.863
20240624 00:42:01,2521,,157.568,,0.5405,193.449,289.222,68.8257,108.183
20240624 00:43:01,2581,,140.888,,0.931167,207.485,304.962,70.9651,148.469
20240624 00:44:01,2641,,112.793,,0.996833,209.624,299.031,75.1382,154.114
20240624 00:45:01,2701,,141.154,,0.560333,196.972,272.511,65.4893,103.164
20240624 00:46:01,2761,,115.597,,1.16333,203.775,284.956,74.2064,229.968
20240624 00:47:01,2821,,96.1682,,0.878833,206.007,274.274,73.6016,142.549
20240624 00:48:01,2881,,90.512,,0.820833,206.819,272.747,73.1172,139.125
20240624 00:49:01,2941,,131.623,,1.11267,197.226,274.019,75.6691,136.655
20240624 00:50:01,3001,,,,2.6565,192.113,263.64,77.9167,434.068
