bthour,lat_0,lat_1,lat_2,lon_0,lon_1,lon_2,alt_0,alt_1,alt_2,Pamb_0,Pamb_1,Pamb_2,Theta_0,Theta_1,Theta_2,Tamb_0,Tamb_1,Tamb_2,precipitation_0,precipitation_1,precipitation_2,MixedLayer_0,MixedLayer_1,MixedLayer_2,RH_0,RH_1,RH_2,TerrainHeight_0,TerrainHeight_1,TerrainHeight_2,solarFlux_0,solarFlux_1,solarFlux_2
0,76.514,76.514,76.514,-68.534,-68.534,-68.534,50,100,150,952.2,945.9,939.7,274.4,275.5,276.5,270.5,271.1,271.5,0,0,0,67.5,67.5,67.5,82.6,81.9,81.2,439.4,439.4,439.4,181.9,181.9,181.9
1,76.493,76.489,76.485,-68.159,-68.114,-68.072,60.9,118.5,176.2,947.3,939.6,932,274.8,275.8,276.8,270.5,270.8,271.1,0,0,0,65.1,63.7,62.5,83.6,83,82.4,475.4,478.5,481.1,184.7,185.4,186
2,76.481,76.472,76.464,-67.755,-67.649,-67.553,84.4,149.6,212.6,943.3,935.8,928.7,276,276.9,277.6,271.3,271.5,271.6,0,0,0,84.1,91.8,98.4,84.5,83.9,83.6,488.3,481.7,475.2,174.2,171.6,169.1
3,76.479,76.467,76.454,-67.338,-67.179,-67.045,105.2,169.9,230.7,941.1,933.8,927.4,276.9,277.4,277.8,272,271.9,271.8,0,0,0,124.3,136,145.4,84.9,84.8,85,487.6,479.2,471.1,154.8,150.1,145.9
4,76.484,76.468,76.451,-66.954,-66.754,-66.589,103.4,169.7,231.6,941.3,936.9,933.1,277.3,277.6,277.7,272.5,272.3,272.2,0,0,0,166.7,148,132.3,84,83.6,83.4,487.4,453.6,422.9,156.4,156,155.5
5,76.493,76.47,76.447,-66.625,-66.38,-66.18,86.2,159.8,227.6,946.5,942.7,939.5,277.5,277.6,277.6,273.1,272.8,272.5,0,0,0,158.8,136.4,116.5,82.6,82.5,82.7,457.6,414,373.8,167.6,167,166.2
6,76.5,76.475,76.443,-66.332,-66.05,-65.803,70.9,149.3,216.8,950.7,947.5,940,277.7,277.6,277.6,273.6,273.2,272.6,0,0,0,157.2,130.9,104.8,81.7,82,82.8,431.7,381.3,384,178.7,178,175.9
7,76.508,76.478,76.437,-66.067,-65.737,-65.436,60.9,137.1,198.8,953.7,944.1,936.1,278.3,277.8,277.9,274.4,273.1,272.5,0,0,0,156.1,118.6,85.8,80.2,81.5,82.5,409.1,426.7,440.2,259.3,255.8,250.9
8,76.512,76.475,76.427,-65.806,-65.417,-65.072,54.6,123.9,176.8,950.9,939.9,933.4,278.3,277.6,277.7,274.1,272.5,272.1,0,0,0,146.5,98.1,61.3,80.6,82.6,83.9,443.5,482.6,490,336.9,330.1,321.7
9,76.511,76.468,76.416,-65.542,-65.103,-64.721,48,109.3,155.4,946.7,936.8,932.1,277.9,277.2,277.5,273.4,271.8,271.7,0,0,0,128.2,72.4,53,82.4,84.9,85.9,494.1,531.9,526.6,411.7,401,390
10,76.506,76.46,76.404,-65.279,-64.792,-64.374,39.4,91.9,138,943.1,934.5,930.8,277.5,277.2,277.5,272.7,271.6,271.6,0,0,0,107,57.4,45.3,83.3,85.3,86.2,540.2,570.8,556.1,433.8,420.5,405.6
11,76.501,76.448,76.386,-65.025,-64.474,-64.025,28.7,75.3,128.8,940,932.7,929.8,276.9,277.5,277.7,271.8,271.7,271.7,0,0,0,69.4,51.2,37.6,84.6,85.9,87.2,584.4,602.1,574,455.2,435.9,415
12,76.498,76.431,76.36,-64.778,-64.158,-63.671,19.5,65.9,129.3,936.8,931.4,932,277.4,277.9,277.9,272,272,272,0,0,0,61,45.3,39,85.2,87.1,87.7,620.5,622.3,553.9,474.3,445.9,426.9
13,76.492,76.408,76.328,-64.525,-63.827,-63.291,14,63.7,134.8,933.2,931.6,934.9,278,278.2,277.9,272.2,272.2,272.2,0,0,0,65.9,53.7,52.8,85.5,87.7,88.2,653.7,619.2,520.4,492.6,466,447.3
14,76.484,76.38,76.286,-64.254,-63.457,-62.87,11.6,65.8,143.6,929.3,933.7,939.6,278.6,278.3,277.7,272.5,272.5,272.4,0,0,0,70.5,70,67.6,85.9,88.3,89.2,684,595.3,469.6,512.9,485.7,460.7
