seconds,tamb,rh,ws,wd
60,-1.208,98.7,2.525,314.5
60,-1.016,98.8,2.679,311.8
60,-1.336,98.5,2.285,302.4
60,-1.297,98.7,2.695,275.5
60,-1.251,98.6,2.63,305.7
60,-1.423,98.5,2.576,300.8
60,-1.34,98.7,2.667,304.5
60,-1.253,98.7,2.393,303.9
60,-1.282,98.8,2.517,311.7
60,-1.259,98.7,2.831,309
60,-1.408,98.6,2.559,311.6
60,-1.39,98.7,2.858,293.8
60,-1.383,98.6,2.55,282.2
60,-1.39,98.7,2.259,311.1
60,-1.393,98.7,2.04,301.9
60,-1.386,98.7,2.341,291.2
60,-1.375,98.7,2.527,284
60,-1.297,98.8,2.308,301.7
60,-1.34,98.7,2.285,290
60,-1.421,98.7,2.166,317.3
60,-1.343,98.8,2.507,302.7
60,-1.366,98.8,1.998,305.6
60,-1.239,98.8,2.339,299.6
60,-1.25,98.8,1.888,315.5
60,-1.296,98.8,2.594,312.5
60,-1.253,98.7,2.202,309.6
60,-1.345,98.7,1.682,303.9
60,-1.243,98.8,1.705,306.4
60,-1.294,98.8,1.684,323.3
60,-1.253,98.8,2.012,327.9
60,-1.102,98.9,2.443,314.2
60,-1.22,98.8,2.133,330.9
60,-1.283,98.7,2.354,308.6
60,-1.247,98.8,2.207,293.5
60,-1.122,98.9,1.682,286.1
60,-1.074,98.8,1.519,291.2
60,-1.161,98.8,1.62,294.6
60,-1.068,98.8,1.274,316
60,-1.247,98.7,1.519,338.5
60,-1.281,98.8,1.935,328.3
60,-1.117,98.9,2.244,314.4
60,-1.238,98.7,2.058,317.5
60,-1.571,98.5,1.33,316.3
60,-1.374,98.8,1.601,316.6
60,-1.48,98.7,1.179,316.6
60,-1.514,98.7,1.591,296.6
60,-1.201,99,1.838,314.8
60,-1.262,98.9,1.684,315
60,-1.244,98.9,1.504,340.5
60,-1.298,98.8,1.702,348.1
60,-1.466,98.7,1.483,5.762
60,-1.527,98.7,1.313,345.9
60,-1.465,98.8,1.147,333.8
60,-1.299,98.9,0.564,353.4
60,-1.345,98.8,0.867,298.3
60,-1.399,98.9,1.23,325.7
60,-1.332,98.8,1.888,340.2
60,-1.34,98.8,1.428,339.8
60,-1.334,98.8,1.047,287.8
60,-1.202,98.9,1.196,314.7
60,-0.969,99,1.251,322
60,-1.072,98.9,1.707,301.5
60,-1.241,98.7,1.3,312.2
60,-1.387,98.7,1.576,319.5
60,-1.332,98.8,1.852,297.5
60,-1.248,98.9,2.009,342
60,-1.423,98.7,2.115,331.9
60,-1.522,98.7,1.746,349.2
60,-1.516,98.7,1.201,317.9
60,-1.521,98.8,1.277,310.9
60,-1.519,98.7,1.338,318.1
60,-1.56,98.7,1.442,322.4
60,-1.569,98.8,0.791,278
60,-1.422,98.9,0.655,279.5
60,-1.526,98.8,0.359,289
60,-1.39,98.9,1.049,285.2
60,-1.39,98.9,1.299,313.6
60,-1.367,98.9,1.911,303.4
60,-1.481,98.8,1.908,319.6
60,-1.377,98.8,1.509,339.7
60,-1.392,98.9,1.346,313.5
60,-1.512,98.8,2.133,298.2
60,-1.57,98.8,1.199,338.3
60,-1.56,98.8,1.627,329.9
60,-1.491,98.8,1.695,316.5
60,-1.477,98.8,1.465,325.5
60,-1.464,98.9,1.129,286.6
60,-1.571,98.8,0.652,316.4
60,-1.386,98.8,0.742,328.5
60,-1.572,98.8,0.825,290.7
60,-1.467,98.8,0.947,228
60,-1.406,98.9,0.595,195.2
60,-1.467,98.8,0.696,202.5
60,-1.482,98.9,0.296,167.9
60,-1.42,98.9,0.212,200.8
60,-1.304,98.9,0.639,198
60,-1.298,98.9,0.869,154.4
60,-1.389,98.8,0.882,134.1
60,-1.376,98.8,0.941,103.3
60,-1.208,99,0.415,87.3
60,-1.241,99,0.26,121.3
60,-1.26,98.9,0.057,332.3
60,-1.291,98.9,0.987,352.4
60,-1.203,98.9,0.815,345.8
60,-1.206,98.9,1.124,345.3
60,-1.193,98.9,1.088,341.8
60,-1.118,98.9,0.991,338.4
60,-0.971,99,1.362,285.4
60,-1.023,99,0.856,320
60,-0.977,98.9,1.477,301.6
60,-1.196,98.8,1.163,309.4
60,-1.162,98.9,0.938,334.1
60,-1.146,98.9,0.505,343.2
60,-0.98,99,0.789,28.65
60,-0.969,99,0.849,298.7
60,-1.107,98.8,0.861,300.4
60,-1.023,98.8,0.854,315.1
60,-1.238,98.8,0.815,333.6
60,-1.204,98.9,1.005,324.6
60,-1.195,98.9,0.933,287.8
60,-1.063,98.9,1.053,301.9
60,-1.098,98.9,0.764,268.4
60,-0.936,98.9,0.485,292.9
60,-1.069,98.9,0.728,323.2
60,-1.182,98.8,0.459,0.009
60,-1.241,98.8,0.436,2.028
60,-1.299,98.8,0.673,0.008
60,-1.251,98.8,0.565,342.8
60,-1.339,98.8,0.488,12.67
60,-1.262,98.9,0.508,2.604
60,-1.236,98.9,0.689,0.559
60,-1.297,98.9,0.794,344.8
60,-1.244,98.9,1.168,295.1
60,-1.144,98.9,0.902,306.9
60,-1.253,98.8,0.696,287.6
60,-1.206,98.9,1.483,283.1
60,-1.162,98.9,1.682,330.8
60,-1.295,98.8,0.99,353.9
60,-1.329,98.8,0.777,351.1
60,-1.162,98.9,0.676,295.7
60,-1.286,98.9,1.098,297
60,-1.289,98.8,0.635,300.8
