avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240627 00:01:00,60,,32.3648,,1.23367,231.319,303.565,71.6762,306.277
20240627 00:02:00,120,,37.2587,,0.846167,239.992,320.411,72.1205,201.106
20240627 00:03:00,180,,49.8145,,0.437167,242.581,325.935,64.6031,114.378
20240627 00:04:00,240,,,,0.587,229.609,302.987,79.4167,174.422
20240627 00:05:00,300,,,,0.5965,241.592,320.472,79.0509,149.734
20240627 00:06:00,360,,25.5812,,0.703,240.519,320.483,68.3284,200.488
20240627 00:07:00,420,,35.2535,,0.339667,244.612,336.62,62.0326,133.584
20240627 00:08:00,480,,52.2358,,1.53133,250.328,337.872,76.599,233.071
20240627 00:09:00,540,,44.7972,,2.61183,233.759,304.94,74.9951,436.893
20240627 00:10:00,600,,35.7957,,2.28633,230.639,294.694,71.3351,466.992
20240627 00:11:00,660,,32.1455,,0.928833,235.755,312.072,61.5061,255.214
20240627 00:12:00,720,,21.9598,,2.99967,223.199,279.133,71.4557,481.433
20240627 00:13:00,780,,47.5088,,2.04233,241.729,326.93,68.254,493.411
20240627 00:14:00,840,,,,0.9275,240.282,330.643,68.7389,135.141
20240627 00:15:00,900,,,,0.624667,226.43,301.679,62.7928,113.366
20240627 00:16:00,960,,,,1.07117,227.73,326.691,67.1722,204.634
20240627 00:17:00,1020,,29.9602,,0.8865,223.541,279.881,64.923,143.599
20240627 00:18:00,1080,,,,0.651833,231.82,319.095,62.6894,143.915
20240627 00:19:00,1140,,34.3545,,1.016,212.769,274.754,65.2701,137.494
20240627 00:20:00,1200,,41.4753,,0.659667,233.476,322.776,64.6809,107.32
20240627 00:21:00,1260,,48.3388,,2.01433,236.961,331.974,76.9131,250.427
20240627 00:22:00,1320,,38.8907,,1.22083,226.367,315.067,67.0821,290.049
20240627 00:23:00,1380,,45.4515,,1.136,231.82,317.824,69.5635,188.796
20240627 00:24:00,1440,,43.755,,1.64533,243.61,344.37,72.8608,271.871
20240627 00:25:00,1500,,51.9983,,2.03317,244.187,349.687,73.5879,398.132
20240627 00:26:00,1560,,59.6148,,0.895,239.033,340.882,67.3112,178.146
20240627 00:27:00,1620,,67.1733,,1.2105,249.885,359.907,69.8402,307.758
20240627 00:28:00,1680,,58.7822,,0.980333,236.529,333.573,70.7976,160.433
20240627 00:29:00,1740,,48.3215,,0.982,226.009,298.214,73.1512,193.439
20240627 00:30:00,1800,,,,1.011,241.034,344.008,70.3751,191.723
20240627 00:31:00,1860,,,,0.498167,221.055,300.277,62.474,104.019
20240627 00:32:00,1920,,34.1748,,0.426167,211.2,262.072,62.2047,88.9743
20240627 00:33:00,1980,,27.945,,0.622167,214.454,263.998,61.2365,113.762
20240627 00:34:00,2040,,28.7087,,0.704667,219.898,270.848,65.6129,111.538
20240627 00:35:00,2100,,33.3667,,1.13233,220.654,270.707,64.4651,244.829
20240627 00:36:00,2160,,,,2.63533,224.887,284.469,69.2304,442.239
20240627 00:37:00,2220,,,,0.596667,226.323,277.731,64.9713,94.2686
20240627 00:38:00,2280,,36.7777,,0.872,224.169,293.277,65.8812,106.969
20240627 00:39:00,2340,,,,1.21667,220.387,279.297,68.2553,165.872
20240627 00:40:00,2400,,25.7542,,1.37817,218.347,274.109,65.6134,198.482
20240627 00:41:00,2460,,36.738,,0.8295,221.701,274.99,64.0585,102.411
20240627 00:42:00,2520,,32.5912,,1.65833,219.067,270.544,70.6806,184.676
20240627 00:43:00,2580,,,,0.886,224.653,281.839,63.608,115.903
20240627 00:44:00,2640,,40.1787,,0.639167,235.221,323.278,60.8082,98.7282
