Date,Latitude,Longitude,abf_conc_sfc,dust_conc_sfc,smoke_conc_sfc
2024-06-18,76.494034,-68.5,0.3805105,1.650129,0.2908905
2024-06-19,76.494034,-68.5,0.1621693,0.5393726,0.1149202
2024-06-20,76.494034,-68.5,0.178668,0.5666839,0.1058008
2024-06-21,76.494034,-68.5,0.0771758,0.240742,0.04082084
2024-06-22,76.494034,-68.5,0.0431548,0.1264157,0.01570788
2024-06-23,76.494034,-68.5,0.05545336,0.1826295,0.02062902
2024-06-24,76.494034,-68.5,0.05917734,0.1659913,0.01872739
2024-06-25,76.494034,-68.5,0.04039706,0.07407755,0.004089705
2024-06-26,76.494034,-68.5,0.06153725,0.2373613,0.02914845
2024-06-27,76.494034,-68.5,0.1274093,0.4022272,0.05476384
2024-06-28,76.494034,-68.5,0.1829742,0.515572,0.06694523
2024-06-29,76.494034,-68.5,0.1210221,0.3527462,0.04250973
2024-06-30,76.494034,-68.5,0.105193,0.5604577,0.05424178
2024-07-01,76.494034,-68.5,0.0709227,0.3533795,0.03709226
2024-07-02,76.494034,-68.5,0.08983453,0.3685099,0.03565787
2024-07-03,76.494034,-68.5,0.1915237,0.533102,0.08855442
2024-07-04,76.494034,-68.5,0.139224,0.4227109,0.3803763
2024-07-05,76.494034,-68.5,0.1207984,0.3321544,0.2710014
2024-07-06,76.494034,-68.5,0.1240793,0.3059049,0.1166729
2024-07-07,76.494034,-68.5,0.08647329,0.1753281,0.06410214
2024-07-08,76.494034,-68.5,0.1255718,0.2839813,0.07694486
2024-07-09,76.494034,-68.5,0.1691808,0.4313775,0.08164789
2024-07-10,76.494034,-68.5,0.1982373,0.4538512,0.05485597
2024-07-11,76.494034,-68.5,0.1683701,0.3332142,0.03503058
2024-07-12,76.494034,-68.5,0.1405915,0.2745121,0.03601487
2024-07-13,76.494034,-68.5,0.08537933,0.22158,0.03267591
2024-07-14,76.494034,-68.5,0.09831753,0.2245115,0.03532111
2024-07-15,76.494034,-68.5,0.09153733,0.3109933,0.1519984
2024-07-16,76.494034,-68.5,0.1151484,0.4873327,0.1915809
2024-07-17,76.494034,-68.5,0.02930121,0.07428093,0.020491
2024-07-18,76.494034,-68.5,0.1300211,0.3642159,0.09583118
2024-07-19,76.494034,-68.5,0.2130356,0.6889393,0.1790036
2024-07-20,76.494034,-68.5,0.2674942,0.9608595,0.249647
2024-07-21,76.494034,-68.5,0.2221815,0.7173234,0.2402086
2024-07-22,76.494034,-68.5,0.1302983,0.5075362,0.1330313
2024-07-23,76.494034,-68.5,0.1373901,0.5954471,0.1319529
2024-07-24,76.494034,-68.5,0.1824831,0.7186351,0.1404222
2024-07-25,76.494034,-68.5,0.1468468,0.6033267,0.1330365
2024-07-26,76.494034,-68.5,0.1922012,0.6057262,0.1343172
2024-07-27,76.494034,-68.5,0.08391735,0.3188574,0.04855227
2024-07-28,76.494034,-68.5,0.09258445,0.2354219,0.0555646
2024-07-29,76.494034,-68.5,0.07614459,0.16231,0.04301277
2024-07-30,76.494034,-68.5,0.173495,0.3518719,0.05715863
2024-07-31,76.494034,-68.5,0.1184617,0.2579526,0.04123194
2024-08-01,76.494034,-68.5,0.189812,0.5729877,0.1055562
2024-08-02,76.494034,-68.5,0.1357325,0.3044578,0.1417246
2024-08-03,76.494034,-68.5,0.1590763,0.3033029,0.3043639
2024-08-04,76.494034,-68.5,0.09223653,0.295823,0.105945
2024-08-05,76.494034,-68.5,0.09262645,0.3444887,0.08736922
2024-08-06,76.494034,-68.5,0.1870127,0.5823912,0.1287624
2024-08-07,76.494034,-68.5,0.1749359,0.4557757,0.08972736
2024-08-08,76.494034,-68.5,0.1881438,0.5440516,0.1106039
2024-08-09,76.494034,-68.5,0.3268218,0.8316878,0.1505366
2024-08-10,76.494034,-68.5,0.2182214,0.5908874,0.1029583
2024-08-11,76.494034,-68.5,0.1268521,0.3049626,0.04506225
2024-08-12,76.494034,-68.5,0.311012,1.139018,1.442564
2024-08-13,76.494034,-68.5,0.2299614,0.4504573,1.958044
2024-08-14,76.494034,-68.5,0.09531455,0.1560162,0.5780602
2024-08-15,76.494034,-68.5,0.04012453,0.06182397,0.2197787
2024-08-16,76.494034,-68.5,0.03257214,0.05905535,0.1383853
2024-08-17,76.494034,-68.5,0.1265848,0.5476499,0.1430472
2024-08-18,76.494034,-68.5,0.2855419,1.199944,0.2822763
2024-08-19,76.494034,-68.5,0.09311873,0.4455784,0.1768278
2024-08-20,76.494034,-68.5,0.1335321,0.8457899,0.1605838
2024-08-21,76.494034,-68.5,0.1715628,1.008677,0.2400686
2024-08-22,76.494034,-68.5,0.2380249,0.77623,0.9669452
2024-08-23,76.494034,-68.5,0.6841658,1.779352,1.258012
2024-08-24,76.494034,-68.5,0.199936,0.4580718,0.3803552
2024-08-25,76.494034,-68.5,0.1913988,0.3747777,0.6731774
2024-08-26,76.494034,-68.5,0.2113503,0.5106217,0.7117597
2024-08-27,76.494034,-68.5,0.1786374,0.5225739,0.5094514
2024-08-28,76.494034,-68.5,0.1082681,0.474081,0.2149722
2024-08-29,76.494034,-68.5,0.1093925,0.6209878,0.1691071
2024-08-30,76.494034,-68.5,0.1742747,0.9595299,0.2336172
2024-08-31,76.494034,-68.5,0.2744481,1.508775,0.3312944
2024-09-01,76.494034,-68.5,0.3018114,1.437917,0.3381573
2024-09-02,76.494034,-68.5,0.2347196,0.7296129,0.1870418
2024-09-03,76.494034,-68.5,0.430076,1.613862,0.2816352
2024-09-04,76.494034,-68.5,0.6014849,1.405887,0.2542572
2024-09-05,76.494034,-68.5,0.6623404,1.33358,0.2584535
2024-09-06,76.494034,-68.5,0.6138402,0.9724846,0.1941499
2024-09-07,76.494034,-68.5,0.6046484,0.8260907,0.1801614
2024-09-08,76.494034,-68.5,1.002552,1.840696,0.2569092
2024-09-09,76.494034,-68.5,0.629117,0.9719164,0.2321968
2024-09-10,76.494034,-68.5,0.7147104,1.50394,0.2042136
2024-09-11,76.494034,-68.5,0.5656487,0.9287677,0.1433901
2024-09-12,76.494034,-68.5,0.5347474,0.7359768,0.1130379
2024-09-13,76.494034,-68.5,0.4198993,0.5223533,0.1075983
2024-09-14,76.494034,-68.5,0.3629068,0.4576286,0.09668972
2024-09-15,76.494034,-68.5,0.3063139,0.315068,0.08461327
2024-09-16,76.494034,-68.5,0.5060073,1.230239,0.1140599
2024-09-17,76.494034,-68.5,0.6127229,0.9188353,0.1279383
2024-09-18,76.494034,-68.5,0.227348,0.3282113,0.07800723
2024-09-19,76.494034,-68.5,0.1973015,0.273051,0.08635118
2024-09-20,76.494034,-68.5,0.3471692,0.6600648,0.09185622
2024-09-21,76.494034,-68.5,0.3558401,0.5498198,0.1185923
2024-09-22,76.494034,-68.5,0.2021642,0.2350898,0.0659361
2024-09-23,76.494034,-68.5,1.229441,1.680853,0.2866686
2024-09-24,76.494034,-68.5,1.530627,3.365088,0.3901288
2024-09-25,76.494034,-68.5,0.2156385,0.358137,0.05324022
2024-09-26,76.494034,-68.5,0.1416506,0.1560292,0.01997618
2024-09-27,76.494034,-68.5,0.1962978,0.2531866,0.03644091
2024-09-28,76.494034,-68.5,0.4545549,0.6754029,0.1006358
2024-09-29,76.494034,-68.5,0.367744,0.4257085,0.0625174
2024-09-30,76.494034,-68.5,0.5414788,0.4071469,0.04781666
