Date,Latitude,Longitude,smoke_totsink,smoke_wetsink,smoke_drysink,dust_totsink,dust_wetsink,dust_drysink,abf_totsink,abf_wetsink,abf_drysink
2024-06-18,76.494034,-68.5,0.008017312,0,0.008017312,0.1391058,0,0.1391058,0.003554133,0,0.003554133
2024-06-19,76.494034,-68.5,0.003637861,0,0.003637861,0.04872049,0,0.04872049,0.001838393,0,0.001838393
2024-06-20,76.494034,-68.5,0.002294043,0,0.002294043,0.03843648,0,0.03843648,0.00100968,0,0.00100968
2024-06-21,76.494034,-68.5,0.00120496,0,0.00120496,0.0224324,0,0.0224324,0.000602406,0,0.000602406
2024-06-22,76.494034,-68.5,0.000327013,0,0.000327013,0.00744001,0,0.00744001,0.000236543,0,0.000236543
2024-06-23,76.494034,-68.5,0.000285327,0,0.000285327,0.008891527,0,0.008891527,0.000280697,0,0.000280697
2024-06-24,76.494034,-68.5,0.000519215,0,0.000519215,0.01366078,0,0.01366078,0.000401119,0,0.000401119
2024-06-25,76.494034,-68.5,0.00013468,0,0.00013468,0.00592686,0,0.00592686,0.000259293,0,0.000259293
2024-06-26,76.494034,-68.5,0.000396347,0,0.000396347,0.01125566,0,0.01125566,0.000300112,0,0.000300112
2024-06-27,76.494034,-68.5,0.000849093,0,0.000849093,0.0209581,0,0.0209581,0.000664371,0,0.000664371
2024-06-28,76.494034,-68.5,0.001897534,0,0.001897534,0.04249222,0,0.04249222,0.00181159,0,0.00181159
2024-06-29,76.494034,-68.5,0.000817138,0,0.000817138,0.02250728,0,0.02250728,0.001136164,0,0.001136164
2024-06-30,76.494034,-68.5,0.001577821,0,0.001577821,0.04565051,0,0.04565051,0.001028849,0,0.001028849
2024-07-01,76.494034,-68.5,0.000950846,0,0.000950846,0.0269282,0,0.0269282,0.000767212,0,0.000767212
2024-07-02,76.494034,-68.5,0.000948598,0,0.000948598,0.02892248,0,0.02892248,0.000718437,0,0.000718437
2024-07-03,76.494034,-68.5,0.006105515,0.003583909,0.002521607,0.07330057,0.02586478,0.0474358,0.005260883,0.002699933,0.00256095
2024-07-04,76.494034,-68.5,0.01166892,0,0.01166892,0.04264258,0,0.04264258,0.002490024,0,0.002490024
2024-07-05,76.494034,-68.5,0.009542994,0,0.009542994,0.0291808,0,0.0291808,0.001379602,0,0.001379602
2024-07-06,76.494034,-68.5,0.003416542,0,0.003416542,0.02364381,0,0.02364381,0.001522646,0,0.001522646
2024-07-07,76.494034,-68.5,0.004023729,0,0.004023729,0.02240404,0,0.02240404,0.001810028,0,0.001810028
2024-07-08,76.494034,-68.5,0.002173752,0,0.002173752,0.02116557,0,0.02116557,0.001484393,0,0.001484393
2024-07-09,76.494034,-68.5,0.002052568,0,0.002052568,0.02791273,0,0.02791273,0.001520266,0,0.001520266
2024-07-10,76.494034,-68.5,0.001607897,0,0.001607897,0.03641866,0,0.03641866,0.001801687,0,0.001801687
2024-07-11,76.494034,-68.5,0.000711255,0,0.000711255,0.02152944,0,0.02152944,0.000938158,0,0.000938158
2024-07-12,76.494034,-68.5,0.000805764,0,0.000805764,0.01876843,0,0.01876843,0.001187132,0,0.001187132
2024-07-13,76.494034,-68.5,0.000945793,0,0.000945793,0.01890106,0,0.01890106,0.001124741,0,0.001124741
2024-07-14,76.494034,-68.5,0.000735424,0,0.000735424,0.01528299,0,0.01528299,0.00076615,0,0.00076615
2024-07-15,76.494034,-68.5,0.1203202,0.1176252,0.002695049,0.207198,0.1888914,0.01830664,0.01359118,0.01291298,0.000678203
2024-07-16,76.494034,-68.5,0.767863,0.7546662,0.0131968,3.815305,3.740314,0.07499149,0.2768329,0.2737784,0.003054504
2024-07-17,76.494034,-68.5,0.001236894,0,0.001236894,0.01269865,0,0.01269865,0.00054601,0,0.00054601
2024-07-18,76.494034,-68.5,0.001595163,0,0.001595163,0.01854652,0,0.01854652,0.000821567,0,0.000821567
2024-07-19,76.494034,-68.5,0.004700467,0,0.004700467,0.05075289,0,0.05075289,0.00203326,0,0.00203326
2024-07-20,76.494034,-68.5,0.01433786,0.008121742,0.006216121,0.1018655,0.03127997,0.07058555,0.005211116,0.00256426,0.002646856
2024-07-21,76.494034,-68.5,0.09006177,0.08284016,0.007221613,0.3030314,0.2409272,0.0621042,0.03108885,0.02880451,0.00228434
2024-07-22,76.494034,-68.5,0.003804643,0.000792814,0.003011829,0.03526586,0.002747123,0.03251874,0.001107056,0.000249303,0.000857753
2024-07-23,76.494034,-68.5,0.003496669,0,0.003496669,0.04619381,0,0.04619381,0.001248913,0,0.001248913
2024-07-24,76.494034,-68.5,0.002938927,0,0.002938927,0.04523442,0,0.04523442,0.001198979,0,0.001198979
2024-07-25,76.494034,-68.5,0.02080873,0.01779128,0.003017453,0.1190296,0.0777652,0.04126443,0.007398106,0.006344741,0.001053365
2024-07-26,76.494034,-68.5,0.008880683,0.00541348,0.003467203,0.06561457,0.02392385,0.04169073,0.004589857,0.002694183,0.001895673
2024-07-27,76.494034,-68.5,0.05171809,0.04960827,0.002109824,0.3297181,0.2933503,0.03636787,0.009901081,0.008619125,0.001281956
2024-07-28,76.494034,-68.5,0.001340483,0,0.001340483,0.01733859,0,0.01733859,0.00093788,0,0.00093788
