avgDate_Time,SecondsOfDay,avgIncandParticleConc,avgScatteringParticleConc,avgIncandMassConc,avgTotalMass,avgdbarScatter,avgdmvdScatter,avgdbarIncnd,avgdmvdIncnd
20240919 00:01:01,61,,22.4793,,0.607167,228.02,319.569,70.8931,122.207
20240919 00:02:01,121,,21.8105,,2.09217,231.897,324.901,80.078,486.99
20240919 00:03:01,181,,22.4802,,1.01133,231.103,321.208,76.0306,295.029
20240919 00:04:01,241,,21.8005,,0.696167,226.339,314.728,74.2093,163.3
20240919 00:05:01,301,,22.189,,0.6445,226.184,312.013,75.8591,146.262
20240919 00:06:01,361,,22.0198,,0.400667,229.277,315.764,73.6801,106.16
20240919 00:07:01,421,,21.52,,0.499667,228.409,318.587,75.3216,125.938
20240919 00:08:01,481,,24,,0.669833,230.566,320.25,73.9197,201.617
20240919 00:09:01,541,,24.1095,,0.583167,228.269,324.804,73.6402,131.326
20240919 00:10:01,601,,24.2293,,0.4185,227.746,322.747,68.6796,115.145
20240919 00:11:01,661,,23.6798,,0.495333,228.975,323.773,73.6613,132.533
20240919 00:12:01,721,,22.3923,,0.8345,234.539,326.324,74.8018,158.998
20240919 00:13:01,781,,22.1585,,1.21833,232.567,326.135,77.8209,280.163
20240919 00:14:01,841,,23.1898,,0.288333,232.929,328.024,68.0778,107.109
20240919 00:15:01,901,,24.1787,,0.222833,229.006,323.956,63.7067,101.823
20240919 00:16:01,961,,23.12,,2.22133,230.273,316.477,87.9187,483.421
20240919 00:17:01,1021,,21.779,,0.425833,238.048,327.802,68.5188,155.9
20240919 00:18:01,1081,,21.4285,,0.813833,237.909,330.574,76.3715,197.904
20240919 00:19:01,1141,,22.8798,,0.8705,236.564,326.918,82.2571,291
20240919 00:20:01,1201,,23.391,,0.7335,234.123,326.875,75.4613,184.616
20240919 00:21:01,1261,,23.7405,,1.12483,228.886,315.693,84.8676,182.359
20240919 00:22:01,1321,,22.9793,,0.517667,228.106,314.554,71.0863,124.89
20240919 00:23:01,1381,,22.5887,,0.919167,233.876,328.969,78.0554,231.528
20240919 00:24:01,1441,,21.191,,0.847333,233.986,322.232,76.4034,173.381
20240919 00:25:01,1501,,22.7907,,0.555333,239.78,332.091,75.5982,144.546
20240919 00:26:01,1561,,23.0597,,0.374167,229.784,316.36,68.8114,123.533
20240919 00:27:01,1621,,24.2713,,0.7535,227.539,319.591,77.749,147.787
20240919 00:28:01,1681,,26.3895,,0.737333,225.854,326.444,83.1878,147.089
20240919 00:29:01,1741,,23.249,,0.352,226.861,320.228,70.7837,111.905
20240919 00:30:01,1801,,22.3402,,0.4175,233.78,331.094,72.0984,124.087
20240919 00:31:01,1861,,22.4302,,0.4945,230.781,322.83,78.5327,130.09
20240919 00:32:01,1921,,22.8705,,0.648833,232.609,320.575,79.3507,133.278
20240919 00:33:01,1981,,22.3102,,0.705667,234.061,323.84,79.2271,143.239
20240919 00:34:01,2041,,22.4303,,0.273,230.82,316.769,68.6007,123.125
20240919 00:35:01,2101,,21.7592,,0.422833,230.317,321.422,71.7962,110.634
20240919 00:36:01,2161,,23.3012,,0.618833,231.771,326.775,73.606,135.422
20240919 00:37:01,2221,,23.48,,0.890833,230.587,318.83,79.7124,210.06
20240919 00:38:01,2281,,22.7395,,0.455333,227.858,315.814,72.8278,105.427
20240919 00:39:01,2341,,22.8007,,1.32183,230.648,320.473,81.0858,308.833
20240919 00:40:01,2401,,22.6,,0.963833,236.226,322.395,83.1058,190.154
20240919 00:41:01,2461,,23.8098,,0.4915,231.573,325.648,72.3423,129.468
20240919 00:42:01,2521,,23.3093,,0.525333,228.613,317.304,71.4533,137.384
20240919 00:43:01,2581,,22.1982,,0.391333,233.454,318.807,70.8048,137.02
20240919 00:44:01,2641,,20.2093,,0.817,233.128,317.975,79.3632,205.67
20240919 00:45:01,2701,,20.8602,,0.683833,237.363,325.449,75.4684,135.382
20240919 00:46:01,2761,,21.241,,1.32583,233.464,323.961,89.305,253.369
20240919 00:47:01,2821,,21.7587,,0.647667,238.173,331.55,80.312,163.084
20240919 00:48:01,2881,,22.1003,,0.753167,231.927,316.2,76.9225,179.679
20240919 00:49:01,2941,,21.7093,,0.528167,235.426,323.324,71.6723,97.9982
20240919 00:50:01,3001,,23.6598,,0.5205,230.278,322.213,73.808,194.433
20240919 00:51:01,3061,,21.9408,,1.42533,232.33,320.074,85.1428,267.367
20240919 00:52:01,3121,,19.4508,,0.931167,237.809,324.798,76.5602,263.695
20240919 00:53:01,3181,,20.5092,,0.410167,237.983,325.044,73.0659,111.341
20240919 00:54:01,3241,,18.4503,,0.560333,236.351,314.238,74.1521,151.588
