bthour,lat_0,lat_1,lat_2,lon_0,lon_1,lon_2,alt_0,alt_1,alt_2,Pamb_0,Pamb_1,Pamb_2,Theta_0,Theta_1,Theta_2,Tamb_0,Tamb_1,Tamb_2,precipitation_0,precipitation_1,precipitation_2,MixedLayer_0,MixedLayer_1,MixedLayer_2,RH_0,RH_1,RH_2,TerrainHeight_0,TerrainHeight_1,TerrainHeight_2,solarFlux_0,solarFlux_1,solarFlux_2
0,76.514,76.514,76.514,-68.534,-68.534,-68.534,50,100,150,967,960.4,954.1,268.9,270.3,271,266.3,267.2,267.3,0,0,0,119.9,119.9,119.9,65.3,64.2,64.4,439.4,439.4,439.4,53.3,53.3,53.3
1,76.514,76.501,76.489,-68.17,-68.154,-68.131,111.5,184.1,241.9,952.6,944.3,938.1,269.9,271.1,271.6,266.1,266.6,266.6,0,0,0,100.4,101.4,101.6,61.2,61.4,62.8,491.5,483,476.4,8,8,8
2,76.497,76.468,76.447,-67.796,-67.736,-67.679,214.7,287.4,336.9,938,932,928,271.3,271.7,271.9,266.3,266.1,266,0,0,0,84.4,86.7,88.1,61.1,63.5,65.6,500.7,478.1,461.1,6.4,6.7,7
3,76.462,76.426,76.4,-67.414,-67.307,-67.219,310.2,368.3,407.8,929.2,925.3,922.7,271.6,271.8,271.9,265.9,265.8,265.7,0,0,0,76.4,77.3,77.4,61.9,64.6,66.3,474.7,448.8,430.5,4.2,4.5,4.7
4,76.426,76.388,76.36,-67.024,-66.867,-66.748,382.1,427.7,457.4,922.9,922.6,923.1,271.7,271.8,271.8,265.5,265.5,265.6,0,0,0,64,71,77.9,61.1,62.3,63.3,451.3,408.8,374.6,0,0,0
5,76.39,76.351,76.323,-66.626,-66.426,-66.275,432.2,463.9,482.8,924.8,927.3,929.7,271.6,271.6,271.6,265.5,265.7,265.9,0,0,0,77.7,89.6,99,59.9,61.3,62.4,382.2,329.2,289.9,0,0,0
6,76.355,76.317,76.29,-66.242,-66.006,-65.824,458.5,477.8,489.5,929.8,934.4,933.4,271.4,271.2,271.4,265.7,265.9,266,0,0,0,94.4,109.4,132.5,58.5,60,61.8,309.8,251.5,249.3,0,0,0
7,76.323,76.288,76.263,-65.896,-65.621,-65.407,469.7,478.3,484.7,933,932.1,931.7,271.1,271.3,271.3,265.7,265.7,265.8,0,0,0,115.6,146.2,171.2,57.2,60,62.2,268.6,269.6,267.6,0,0,0
8,76.298,76.265,76.242,-65.583,-65.267,-65.022,473.2,473.8,473.4,930.7,930.7,931,271.2,271.3,271.4,265.6,265.7,265.7,0,0,0,148.1,184.3,213.4,57.2,60.1,62.5,283.1,284.1,282.9,0,0,0
9,76.278,76.248,76.228,-65.297,-64.945,-64.679,473.7,467.4,463.7,929,929.8,931,271.3,271.3,271.4,265.5,265.6,265.7,0,0,0,178.8,220.9,258.7,56.3,59.1,61,295.1,296.4,291.7,0,0,0
10,76.264,76.237,76.218,-65.05,-64.671,-64.392,473.6,463.8,459.6,927.5,929.2,930.3,271.3,271.4,271.4,265.4,265.5,265.6,0,0,0,205.7,250,283.8,54.5,57.4,59.6,305.6,303.7,299.2,0,0,0
11,76.257,76.231,76.214,-64.837,-64.437,-64.144,474.4,464.2,459.8,926.1,927.8,928.8,271.4,271.4,271.4,265.3,265.4,265.5,0,0,0,218.7,258.5,288.4,54.7,57.5,59.6,315.3,313.7,310.6,26.7,26.7,26.7
12,76.256,76.232,76.216,-64.647,-64.228,-63.922,477.4,468,464.1,923.8,925.1,926.3,271.4,271.5,271.5,265.2,265.3,265.4,0,0,0,221.7,255.6,273.1,54.6,57.1,58.7,329.9,330.7,325.8,53.3,53.3,53.3
13,76.262,76.24,76.224,-64.483,-64.044,-63.732,483.8,476.1,472.1,920.4,921.1,923.1,271.6,271.6,271.6,265,265,265.2,0,0,0,215.7,242.7,249.5,54.1,56.3,57.3,351.3,355.7,342.5,80,80,80
14,76.275,76.254,76.236,-64.34,-63.882,-63.567,493.2,487.6,482.2,915.8,916.3,919,271.7,271.7,271.7,264.7,264.8,265,0,0,0,218.6,241.6,249.9,54.6,56.7,57.3,380.9,383.8,366.6,102,101.3,101.3
15,76.295,76.274,76.253,-64.213,-63.74,-63.416,504.3,500.1,493.4,909.8,910.8,914,271.8,271.9,271.8,264.3,264.4,264.7,0,0,0,218.2,239.2,251.7,55.3,56.8,56.9,420.8,418.5,397.7,123.5,122.7,122.7
16,76.324,76.299,76.274,-64.11,-63.618,-63.282,516.3,513,505.5,902.3,904.2,908.1,272.1,272.1,272,263.9,264.1,264.3,0,0,0,213.4,236.8,254.2,56.2,56.7,56.4,473.1,461.8,435.7,144.6,144,144
17,76.36,76.328,76.299,-64.036,-63.519,-63.163,526.1,524.9,518,894,896.9,901.5,272.4,272.3,272.2,263.5,263.7,263.9,0,0,0,219.1,238.1,252.6,57.6,57.5,57.1,534.5,511.4,478.9,165.4,165.3,165.3
18,76.401,76.361,76.326,-63.995,-63.442,-63.059,531.3,534.7,530.3,885.8,889.5,894.5,272.7,272.6,272.3,263.1,263.2,263.4,0,0,0,220.3,234.9,246.4,58.8,58.4,57.9,599.8,565.3,526.5,186.7,186.7,186.7
19,76.447,76.397,76.357,-63.991,-63.391,-62.972,530.4,542,542.6,877.8,881.6,886.7,273.1,272.8,272.5,262.7,262.8,263,0,0,0,216,228,236.1,59.9,59.4,58.9,668.6,625.3,580.7,208,208,208
20,76.497,76.439,76.393,-64.008,-63.354,-62.896,525.5,548.8,556.4,870,873.3,878.1,273.4,273.2,272.9,262.4,262.4,262.6,0,0,0,196.5,213,222.6,60.7,60.2,59.8,741.9,692.2,642.7,197.3,198.1,198.5
21,76.551,76.485,76.434,-64.026,-63.318,-62.825,520.5,557.6,573.5,861.7,863.8,868.1,273.9,273.7,273.4,262.1,262,262.2,0,0,0,175,196.6,207.5,61.5,61.1,60.7,819.8,767.4,714.5,186.6,188.4,189.5
22,76.611,76.538,76.483,-64.041,-63.284,-62.761,517.3,569.4,593.7,852.3,852.7,856.3,274.4,274.3,274.1,261.8,261.6,261.7,0,0,0,151.9,177.9,190.3,62.5,62.1,61.7,905.7,854.3,799.5,176,179.1,180.9
23,76.678,76.601,76.543,-64.051,-63.253,-62.712,515.5,582.3,613.6,841.4,839.8,842.8,275,275,274.8,261.4,261.2,261.3,0,0,0,131,159.2,173.5,64.5,63.7,63.4,1002.4,956.1,900.8,122.7,125.1,126.7
24,76.752,76.674,76.612,-64.053,-63.225,-62.678,513.9,593,628.8,829.1,825.4,827.9,275.6,275.8,275.6,260.9,260.7,260.7,0,0,0,106,134.5,151.9,66.9,65.7,65.7,1111.9,1074.2,1019.5,69.3,70.7,72.4
25,76.834,76.757,76.693,-64.041,-63.192,-62.648,512.2,600.4,638.2,815.2,809.5,811.7,276.3,276.7,276.5,260.4,260.2,260.1,0,0,0,76.4,103.1,125,69.6,68,68.3,1236.8,1209.7,1157,16,16,18
26,76.925,76.848,76.785,-64.021,-63.153,-62.615,510.7,606.7,647,799.5,792.1,793.7,277.2,277.7,277.6,259.9,259.5,259.5,0,0,0,40.7,67.8,93.4,73.2,71.7,71.9,1377.3,1360.5,1312.6,10.7,10.7,12.3
27,77.026,76.948,76.886,-64.004,-63.111,-62.582,512.5,614.9,662,785.6,773,773.1,277.9,278.8,278.7,259.4,258.9,258.8,0,0,0,9.5,29.4,58.8,76.8,75.8,75.8,1499,1525.4,1486.2,5.3,5.3,6.3
28,77.138,77.057,77,-63.973,-63.067,-62.555,526.4,628.8,685,781.5,760.7,749.6,278.1,279.4,280.1,259.2,258.4,257.9,0,0,0,9.5,9.4,20.5,78.8,79.3,80.2,1525.5,1625.8,1680.4,0,0,0
29,77.259,77.172,77.123,-63.921,-63.019,-62.537,553.7,653.1,718.4,775.6,755.5,744.2,278.5,279.7,280.3,259,258.1,257.6,0,0,0,9.4,9.4,18.8,80.1,81,82.1,1555.3,1654,1702.6,0,0,0
30,77.382,77.289,77.247,-63.855,-62.969,-62.518,587.2,685.9,752.7,769,749.5,738.6,279,280,280.6,258.8,257.8,257.3,0,0,0,9.4,9.9,17.1,81.3,82.6,83.7,1587.3,1682.3,1725,0,0,0
31,77.503,77.409,77.373,-63.764,-62.906,-62.483,619.1,722,786.6,762.3,743.1,733,279.4,280.3,280.9,258.5,257.5,257,0,0,0,9.4,10.4,15.6,82.4,84.1,85.2,1622.2,1711.4,1748.9,0,0,0
32,77.622,77.532,77.503,-63.634,-62.819,-62.419,645,751.7,813.8,755.8,737.2,727.8,279.8,280.7,281.1,258.2,257.2,256.7,0,0,0,13.8,16.2,18.9,84,86,86.9,1661.7,1742.7,1775.6,0,0,0
33,77.742,77.66,77.636,-63.462,-62.697,-62.317,662.8,770,831.3,749.6,732.1,723.3,280.1,280.9,281.3,258,257,256.4,0,0,0,19.6,21.6,22.5,85.6,87.6,88.4,1706.8,1776.2,1805.2,0,0,0
34,77.861,77.79,77.771,-63.249,-62.535,-62.173,672.4,781.7,844.3,743.7,727.6,719,280.5,281.2,281.6,257.7,256.7,256.2,0,0,0,26.1,26.7,26.7,87.2,88.9,89.6,1756.8,1811.1,1836.5,0,0,0
35,77.978,77.918,77.906,-63.031,-62.361,-62.015,686.2,798.4,863,737.5,722.9,714.4,280.7,281.4,281.7,257.3,256.4,255.9,0,0,0,23.8,23.8,23.8,89.3,90.7,91.6,1807.2,1844,1866.4,24.1,22.7,21.9
36,78.091,78.045,78.04,-62.849,-62.209,-61.874,718.2,829.5,894.8,738.5,720.5,711.8,280.5,281.4,281.8,257.2,256.2,255.7,0,0,0,20.9,20.9,20.2,90.9,92.5,93.6,1768,1839.5,1864.5,46.2,43.3,42.2
37,78.197,78.168,78.172,-62.706,-62.078,-61.753,763.2,873.2,936,739.8,722.5,714.4,280.4,281.3,281.6,257.2,256.3,255.8,0,0,0,18.1,18.1,18.1,92.1,93.8,94.9,1711.8,1777,1799.1,66.5,61.9,61.3
38,78.297,78.283,78.296,-62.603,-61.98,-61.659,804.6,912,970.5,741,724.6,717.2,280.2,281.1,281.4,257.1,256.3,255.8,0,0,0,15.2,15.2,15.2,93.6,95,95.9,1658.1,1718,1737.2,81.5,77.3,76.2
39,78.387,78.387,78.409,-62.548,-61.927,-61.605,828.8,933.9,989.1,743.6,727.9,721,280,280.8,281.1,257.2,256.4,256,0,0,0,12.3,12.3,12.3,95,96,96.7,1607.5,1662.8,1679.4,96.3,92.7,90.5
40,78.466,78.479,78.51,-62.544,-61.918,-61.592,837.9,941,993.9,747.4,732.2,725.7,279.7,280.5,280.8,257.3,256.6,256.2,0,0,0,9.4,9.4,9.4,96.2,97,97.5,1560,1611.4,1625.2,111.1,107.9,104.5
41,78.534,78.559,78.599,-62.585,-61.948,-61.616,839.2,940.5,992,751.7,736.8,730.7,279.4,280.2,280.5,257.4,256.7,256.4,0,0,0,9.5,9.4,9.4,96.5,97,97.5,1514.5,1562.6,1573.8,121.8,119.3,116.4
42,78.594,78.63,78.678,-62.667,-62.014,-61.675,840.5,939.9,991.1,755.9,741.3,735.4,279.1,280,280.3,257.6,256.9,256.6,0,0,0,9.5,9.5,9.5,96.8,97.2,97.5,1469.3,1515,1523.9,132.1,130.2,127.6
43,78.646,78.693,78.746,-62.799,-62.122,-61.777,843.5,941.7,993.5,760,745.7,739.8,278.8,279.7,280,257.7,257.1,256.8,0,0,0,9.5,9.5,9.5,97.2,97.3,97.6,1423.3,1467.3,1474.4,142.2,140.3,138.1
44,78.694,78.749,78.807,-62.988,-62.284,-61.932,844.3,944.1,996.8,764.9,750.5,744.5,278.5,279.4,279.7,257.9,257.3,257,0,0,0,17,17.6,18.2,97.4,97.6,97.8,1372.8,1416,1422.4,133.3,131.4,129.4
45,78.74,78.802,78.862,-63.241,-62.512,-62.151,838.4,942.1,997.3,771.8,756.3,750.1,278.2,279,279.4,258.2,257.6,257.3,0,0,0,25.5,26.8,28.1,97.5,97.7,97.8,1310.7,1358.2,1365.2,124.4,123.1,121.4
46,78.785,78.85,78.909,-63.559,-62.817,-62.446,828.1,930.7,990.7,779.8,763.9,757,277.8,278.6,279,258.6,257.9,257.6,0,0,0,34.9,37,38.9,97.4,97.8,97.8,1241.4,1293.3,1301.6,116.2,115.6,114.2
47,78.825,78.891,78.95,-63.922,-63.18,-62.801,816,911.2,976.3,788.4,773,765.2,277.4,278.2,278.6,259.1,258.4,258.1,0,0,0,27.3,28.7,30,97.5,98,98.2,1169.1,1222.2,1232.5,81.9,81.6,80.8
48,78.859,78.927,78.986,-64.307,-63.576,-63.192,797,888.9,957.6,801.3,782.7,774.4,276.8,277.8,278.2,259.8,258.9,258.6,0,0,0,18.8,19.6,20.2,97.4,98,98.3,1064.9,1148.5,1159.7,48.1,48.5,48.1
49,78.882,78.955,79.017,-64.71,-64.01,-63.616,766.2,858.8,933.3,816.5,793.5,784.7,276.2,277.3,277.7,260.5,259.5,259.1,0,0,0,9.7,9.6,10,97.2,97.8,98.2,952.1,1073.8,1083.4,16,16,15.9
50,78.896,78.974,79.042,-65.101,-64.445,-64.042,736.8,829.4,907.8,832.3,809.5,795.5,275.5,276.6,277.3,261.3,260.4,259.8,0.1,0.1,0.1,9.7,9.7,11.3,96.6,97.1,97.4,835.5,951.4,1004.9,10.2,10.7,10.4
51,78.904,78.987,79.061,-65.444,-64.848,-64.431,715,811.8,892.9,849,823.2,809.1,274.8,276,276.8,262.2,261.1,260.5,0.1,0.1,0.1,9.8,9.7,13.4,96.4,96.6,96.8,705.8,839.9,891.7,4.3,5.3,5.2
52,78.905,78.994,79.077,-65.736,-65.22,-64.788,692.2,803.6,890.3,863.3,838.1,820.1,274.3,275.4,276.3,262.9,261.8,261,0,0.2,0.2,9.8,9.8,16.4,96.2,96.4,96.4,599.8,711.7,790.3,0,0,0
53,78.9,78.995,79.089,-65.996,-65.565,-65.128,662.4,787.2,885.4,876.3,854.3,832,273.8,274.7,275.8,263.6,262.6,261.6,0,0,0,9.9,9.8,19.2,96.4,96.5,96.4,511.1,579.4,683.7,0,0,0
54,78.893,78.988,79.096,-66.244,-65.891,-65.452,626.5,753.6,864,884.2,870.9,847,273.5,274,275.1,264,263.4,262.3,0,0,0,9.9,9.9,22.9,96.6,96.7,96.5,475.5,461.9,566.6,0,0,0
55,78.886,78.975,79.096,-66.48,-66.198,-65.766,592.9,712.9,830.8,891.6,882.7,862.4,273.3,273.6,274.4,264.4,264,263,0,0,0,9.9,9.9,25.6,96.8,97,96.7,443,395.5,458.1,0,0,0
56,78.879,78.963,79.09,-66.706,-66.488,-66.075,562.3,672.4,792.9,898.6,891.9,876.9,273.1,273.3,273.9,264.8,264.5,263.8,0,0,0,16.5,14.9,27.8,96.7,96.8,96.8,412.4,354.9,364.9,0,0,0
57,78.872,78.952,79.083,-66.928,-66.764,-66.378,535.2,635.3,753,905,900.5,887.3,272.9,273.1,273.5,265.1,265,264.3,0,0,0,27,25.3,31.6,96.6,96.5,96.7,383.6,316.9,311.5,0,0,0
58,78.864,78.94,79.075,-67.153,-67.032,-66.674,512.4,604.4,715,909,907.5,897.5,272.8,272.9,273.2,265.4,265.4,264.9,0,0,0,33.1,38.8,40.8,96.5,96.2,96.4,371.1,286.6,259.4,0,0,0
