seconds,tamb,rh,ws,wd
60,6.545,60.86,3.935,131.2
60,6.463,61.96,3.641,142.8
60,6.15,62.74,3.458,147.5
60,6.231,62.5,4.9,140.1
60,6.317,62.74,4.258,129.4
60,6.045,64.12,5.264,135.9
60,6.045,64.6,5.534,145.4
60,5.913,65.31,4.766,141.2
60,5.873,66.12,4.15,145.2
60,5.741,65.44,4.631,151.1
60,6.013,63.36,5.205,145.1
60,6.322,62.56,4.965,155.1
60,6.504,62.45,5.029,143.4
60,6.272,63.01,5.382,121.4
60,6.184,63.86,5.315,138
60,6.184,63.66,6.007,145.8
60,6.149,63.36,5.967,155.9
60,6.092,63.47,6.618,141.4
60,6.091,63.46,7.654,142
60,6.193,63.72,7.52,151.6
60,6.013,64.2,7.138,143.1
60,6.062,64.44,7.118,148
60,5.995,64.71,7.326,139.6
60,5.907,64.34,7.907,150.1
60,5.866,64.76,6.87,145
60,5.865,65.67,6.034,135.3
60,5.741,65.21,7.724,164.3
60,5.885,65.29,7.018,150.8
60,5.739,66.42,6.298,163
60,5.721,65.99,7.621,148.2
60,5.773,65.29,6.947,147.6
60,6.093,64.33,7.843,140.4
60,6.015,64.19,7.843,140.4
60,5.976,64.43,6.971,139
60,5.913,65.31,6.69,145.4
60,5.831,65.15,6.13,146.9
60,5.693,66.35,5.789,156.3
60,5.639,66.29,6.945,152.4
60,5.638,66.16,7.175,145.5
60,5.757,65.86,6.883,155.9
60,5.681,65.73,6.788,151.7
60,5.729,65.41,7.78,143.3
60,5.966,65.38,8.06,144
60,5.744,65.86,7.347,144.4
60,5.834,65.93,6.417,145.7
60,5.923,65.73,7.103,158.3
60,5.878,64.96,7.58,146.1
60,5.91,65.09,7.894,144.5
60,5.832,65.35,7.683,138
60,5.818,66.1,7.851,135.9
60,5.826,66.92,6.362,137.6
60,5.599,65.92,7.528,140.8
60,5.65,66.05,6.435,135.3
60,5.745,66.63,5.491,151.3
60,5.648,66.71,5.019,134.1
60,5.565,67.25,4.56,146.6
60,5.419,67.33,4.84,138.5
60,5.498,67.18,5.467,137.3
60,5.498,66.97,5.364,142.5
60,5.467,65.48,6.264,131.6
60,5.969,64.49,5.586,148.7
60,5.737,65.19,5.779,143.3
60,5.689,65.58,5.184,151.7
60,5.549,65.87,4.991,146.1
60,5.596,65.74,5.473,147.2
60,5.686,65.63,5.762,145.5
60,5.499,65.94,5.339,145.9
60,5.498,65.48,6.112,144.1
60,5.729,65.3,5.517,147.4
60,5.639,65.56,5.777,136.5
60,5.542,64.73,6.432,131
60,5.594,65.46,4.9,135.6
60,5.406,66.4,4.889,149.2
60,5.362,65.77,5.65,142.9
60,5.667,64.13,5.397,147.9
60,5.853,63.47,5.217,144.1
60,5.778,63.39,5.862,132.4
60,5.827,62.54,4.96,140
60,6.015,62.68,4.743,165.1
60,5.786,63.75,4.203,151.5
60,5.88,63.71,5.354,138.4
60,5.777,64.17,5.209,154.2
60,5.772,63.95,5.707,147.2
60,5.678,63.66,6.698,145.6
60,5.684,64.65,5.836,140.3
60,5.596,64.37,5.068,138.6
60,5.649,65.1,5.026,137.6
60,5.558,64.95,4.402,126.8
60,5.559,64.92,5.372,135.9
60,5.647,65.29,5.954,121.4
60,5.641,64.18,6.543,131.2
60,5.764,64.48,6.107,138.3
60,5.68,64.05,6.689,135.4
60,5.815,63.78,6.595,130
60,5.727,64.4,5.976,127.3
60,5.635,65.13,5.767,138.5
60,5.691,64.56,6.349,133.1
60,5.649,64.66,5.462,123.5
60,5.671,65.24,5.202,111.7
60,5.558,65.84,4.386,112.4
60,5.49,65.76,4.882,130.1
60,5.626,64.77,6.571,125.9
60,5.724,63.63,5.893,130.1
60,5.68,64.86,5.648,137.6
60,5.681,64.67,6.146,136.7
60,5.595,64.79,5.429,132.5
60,5.647,65.47,5.222,124.2
60,5.42,66.18,5.114,135.1
60,5.33,65.82,5.222,133
60,5.603,64.85,5.018,129.4
60,5.697,65.49,5.047,147.6
60,5.606,66.08,5.183,148.6
60,5.327,66.61,5.437,149.8
60,5.25,67.33,5.103,137
60,5.146,67.52,5.47,128.8
60,5.192,66.84,5.294,137.6
60,5.3,66.56,4.392,140.2
60,5.337,66.39,4.629,134.6
60,5.28,66.48,4.972,130.6
60,5.414,65.92,5.97,133.6
60,5.364,65.34,5.072,140.7
60,5.45,64.77,5.197,141.6
60,5.59,64.43,4.701,134.4
60,5.587,64.66,4.729,140.1
60,5.579,64.53,4.616,140
60,5.453,64.92,4.608,138.7
60,5.407,64.75,5.269,140
60,5.578,64.22,4.853,149.6
60,5.687,64.39,4.513,138.9
60,5.457,64.65,4.116,136.5
60,5.415,64.72,3.672,143.5
60,5.447,64.94,3.298,149.2
60,5.371,64.59,3.227,148.5
60,5.418,64.23,3.518,144.9
60,5.512,64.34,3.866,139
60,5.66,62.82,4.211,145.7
60,5.602,62.87,3.899,146.8
60,5.971,61.1,4.286,136.6
60,5.874,61.73,3.499,141.1
60,5.919,62.05,3.258,145.1
60,5.728,61.46,3.659,128.3
60,5.815,61.29,4.359,144.7
60,5.741,62.31,3.798,139.4
60,5.577,63.67,2.448,139.5
60,5.367,63.91,2.063,114.3
60,5.372,63.91,2.117,111.1
60,5.42,64.07,2.285,121.5
60,5.329,64.33,3.272,115.6
60,5.192,65.24,4.341,114.8
60,5.056,65.63,4.998,125
60,5.103,66.28,4.848,127.7
60,5.007,65.92,4.567,139.3
60,5.064,65.83,4.768,129.6
60,5.134,64.76,4.893,133.7
60,5.345,64.08,5.223,121.8
60,5.492,63.01,5.241,125.1
60,5.495,63.1,4.8,134.1
60,5.405,63.98,4.31,122.2
60,5.366,64.17,4.402,123.7
60,5.302,64.65,4.501,132.8
60,5.226,64.44,4.309,139.4
60,5.244,63.84,6.326,123.7
60,5.46,63.92,5.112,117.9
60,5.322,64.4,5.171,123.9
60,5.233,64.08,4.954,127.8
60,5.28,63.72,5.851,123.8
60,5.327,64.01,5.962,119.3
60,5.282,63.49,4.064,128.7
60,5.289,64.33,4.248,132.7
60,5.285,64.3,4.309,125
60,5.285,64.82,3.391,127.3
60,5.241,65.88,3.864,125.5
60,4.78,66.67,3.384,125.5
60,4.739,66.19,3.843,129.4
